Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
1.0,BOT,77,Mercedes,2020,1,Spielberg
2.0,HAM,44,Mercedes,2020,1,Spielberg
3.0,VER,33,Red Bull Racing,2020,1,Spielberg
4.0,NOR,4,McLaren,2020,1,Spielberg
5.0,ALB,23,Red Bull Racing,2020,1,Spielberg
6.0,PER,11,Racing Point,2020,1,Spielberg
7.0,LEC,16,Ferrari,2020,1,Spielberg
8.0,SAI,55,McLaren,2020,1,Spielberg
9.0,STR,18,Racing Point,2020,1,Spielberg
10.0,RIC,3,Renault,2020,1,Spielberg
11.0,VET,5,Ferrari,2020,1,Spielberg
12.0,GAS,10,AlphaTauri,2020,1,Spielberg
13.0,KVY,26,AlphaTauri,2020,1,Spielberg
14.0,OCO,31,Renault,2020,1,Spielberg
15.0,GRO,8,Haas F1 Team,2020,1,Spielberg
16.0,MAG,20,Haas F1 Team,2020,1,Spielberg
17.0,RUS,63,Williams,2020,1,Spielberg
18.0,GIO,99,Alfa Romeo Racing,2020,1,Spielberg
19.0,RAI,7,Alfa Romeo Racing,2020,1,Spielberg
20.0,LAT,6,Williams,2020,1,Spielberg
1.0,HAM,44,Mercedes,2020,2,Spielberg
2.0,VER,33,Red Bull Racing,2020,2,Spielberg
3.0,SAI,55,McLaren,2020,2,Spielberg
4.0,BOT,77,Mercedes,2020,2,Spielberg
5.0,OCO,31,Renault,2020,2,Spielberg
6.0,NOR,4,McLaren,2020,2,Spielberg
7.0,ALB,23,Red Bull Racing,2020,2,Spielberg
8.0,GAS,10,AlphaTauri,2020,2,Spielberg
9.0,RIC,3,Renault,2020,2,Spielberg
10.0,VET,5,Ferrari,2020,2,Spielberg
11.0,LEC,16,Ferrari,2020,2,Spielberg
12.0,RUS,63,Williams,2020,2,Spielberg
13.0,STR,18,Racing Point,2020,2,Spielberg
14.0,KVY,26,AlphaTauri,2020,2,Spielberg
15.0,MAG,20,Haas F1 Team,2020,2,Spielberg
16.0,RAI,7,Alfa Romeo Racing,2020,2,Spielberg
17.0,PER,11,Racing Point,2020,2,Spielberg
18.0,LAT,6,Williams,2020,2,Spielberg
19.0,GIO,99,Alfa Romeo Racing,2020,2,Spielberg
20.0,GRO,8,Haas F1 Team,2020,2,Spielberg
1.0,HAM,44,Mercedes,2020,3,Budapest
2.0,BOT,77,Mercedes,2020,3,Budapest
3.0,STR,18,Racing Point,2020,3,Budapest
4.0,PER,11,Racing Point,2020,3,Budapest
5.0,VET,5,Ferrari,2020,3,Budapest
6.0,LEC,16,Ferrari,2020,3,Budapest
7.0,VER,33,Red Bull Racing,2020,3,Budapest
8.0,NOR,4,McLaren,2020,3,Budapest
9.0,SAI,55,McLaren,2020,3,Budapest
10.0,GAS,10,AlphaTauri,2020,3,Budapest
11.0,RIC,3,Renault,2020,3,Budapest
12.0,RUS,63,Williams,2020,3,Budapest
13.0,ALB,23,Red Bull Racing,2020,3,Budapest
14.0,OCO,31,Renault,2020,3,Budapest
15.0,LAT,6,Williams,2020,3,Budapest
16.0,MAG,20,Haas F1 Team,2020,3,Budapest
17.0,KVY,26,AlphaTauri,2020,3,Budapest
18.0,GRO,8,Haas F1 Team,2020,3,Budapest
19.0,GIO,99,Alfa Romeo Racing,2020,3,Budapest
20.0,RAI,7,Alfa Romeo Racing,2020,3,Budapest
1.0,HAM,44,Mercedes,2020,4,Silverstone
2.0,BOT,77,Mercedes,2020,4,Silverstone
3.0,VER,33,Red Bull Racing,2020,4,Silverstone
4.0,LEC,16,Ferrari,2020,4,Silverstone
5.0,NOR,4,McLaren,2020,4,Silverstone
6.0,STR,18,Racing Point,2020,4,Silverstone
7.0,SAI,55,McLaren,2020,4,Silverstone
8.0,RIC,3,Renault,2020,4,Silverstone
9.0,OCO,31,Renault,2020,4,Silverstone
10.0,VET,5,Ferrari,2020,4,Silverstone
11.0,GAS,10,AlphaTauri,2020,4,Silverstone
12.0,ALB,23,Red Bull Racing,2020,4,Silverstone
13.0,HUL,27,Racing Point,2020,4,Silverstone
14.0,KVY,26,AlphaTauri,2020,4,Silverstone
15.0,RUS,63,Williams,2020,4,Silverstone
16.0,MAG,20,Haas F1 Team,2020,4,Silverstone
