Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
15.0,ANT,12,Mercedes,2025,8,Monaco
16.0,BOR,5,Kick Sauber,2025,8,Monaco
17.0,BEA,87,Haas F1 Team,2025,8,Monaco
18.0,GAS,10,Alpine,2025,8,Monaco
19.0,STR,18,Aston Martin,2025,8,Monaco
20.0,COL,43,Alpine,2025,8,Monaco
1.0,PIA,81,McLaren,2025,9,Barcelona
2.0,NOR,4,McLaren,2025,9,Barcelona
3.0,VER,1,Red Bull Racing,2025,9,Barcelona
4.0,RUS,63,Mercedes,2025,9,Barcelona
5.0,HAM,44,Ferrari,2025,9,Barcelona
6.0,ANT,12,Mercedes,2025,9,Barcelona
7.0,LEC,16,Ferrari,2025,9,Barcelona
8.0,GAS,10,Alpine,2025,9,Barcelona
9.0,HAD,6,Racing Bulls,2025,9,Barcelona
10.0,ALO,14,Aston Martin,2025,9,Barcelona
11.0,ALB,23,Williams,2025,9,Barcelona
12.0,BOR,5,Kick Sauber,2025,9,Barcelona
13.0,LAW,30,Racing Bulls,2025,9,Barcelona
14.0,STR,18,Aston Martin,2025,9,Barcelona
15.0,BEA,87,Haas F1 Team,2025,9,Barcelona
16.0,HUL,27,Kick Sauber,2025,9,Barcelona
17.0,OCO,31,Haas F1 Team,2025,9,Barcelona
18.0,SAI,55,Williams,2025,9,Barcelona
19.0,COL,43,Alpine,2025,9,Barcelona
20.0,TSU,22,Red Bull Racing,2025,9,Barcelona
1.0,RUS,63,Mercedes,2025,10,Montréal
2.0,VER,1,Red Bull Racing,2025,10,Montréal
3.0,PIA,81,McLaren,2025,10,Montréal
4.0,ANT,12,Mercedes,2025,10,Montréal
5.0,HAM,44,Ferrari,2025,10,Montréal
6.0,ALO,14,Aston Martin,2025,10,Montréal
7.0,NOR,4,McLaren,2025,10,Montréal
8.0,LEC,16,Ferrari,2025,10,Montréal
9.0,HAD,6,Racing Bulls,2025,10,Montréal
10.0,ALB,23,Williams,2025,10,Montréal
11.0,TSU,22,Red Bull Racing,2025,10,Montréal
12.0,COL,43,Alpine,2025,10,Montréal
13.0,HUL,27,Kick Sauber,2025,10,Montréal
14.0,BEA,87,Haas F1 Team,2025,10,Montréal
15.0,OCO,31,Haas F1 Team,2025,10,Montréal
16.0,BOR,5,Kick Sauber,2025,10,Montréal
17.0,SAI,55,Williams,2025,10,Montréal
18.0,STR,18,Aston Martin,2025,10,Montréal
19.0,LAW,30,Racing Bulls,2025,10,Montréal
20.0,GAS,10,Alpine,2025,10,Montréal
1.0,NOR,4,McLaren,2025,11,Spielberg
2.0,LEC,16,Ferrari,2025,11,Spielberg
3.0,PIA,81,McLaren,2025,11,Spielberg
4.0,HAM,44,Ferrari,2025,11,Spielberg
5.0,RUS,63,Mercedes,2025,11,Spielberg
6.0,LAW,30,Racing Bulls,2025,11,Spielberg
7.0,VER,1,Red Bull Racing,2025,11,Spielberg
8.0,BOR,5,Kick Sauber,2025,11,Spielberg
9.0,ANT,12,Mercedes,2025,11,Spielberg
10.0,GAS,10,Alpine,2025,11,Spielberg
11.0,ALO,14,Aston Martin,2025,11,Spielberg
12.0,ALB,23,Williams,2025,11,Spielberg
13.0,HAD,6,Racing Bulls,2025,11,Spielberg
14.0,COL,43,Alpine,2025,11,Spielberg
15.0,BEA,87,Haas F1 Team,2025,11,Spielberg
16.0,STR,18,Aston Martin,2025,11,Spielberg
17.0,OCO,31,Haas F1 Team,2025,11,Spielberg
18.0,TSU,22,Red Bull Racing,2025,11,Spielberg
19.0,SAI,55,Williams,2025,11,Spielberg
20.0,HUL,27,Kick Sauber,2025,11,Spielberg
1.0,VER,1,Red Bull Racing,2025,12,Silverstone
2.0,PIA,81,McLaren,2025,12,Silverstone
3.0,NOR,4,McLaren,2025,12,Silverstone
4.0,RUS,63,Mercedes,2025,12,Silverstone
5.0,HAM,44,Ferrari,2025,12,Silverstone
6.0,LEC,16,Ferrari,2025,12,Silverstone
7.0,ANT,12,Mercedes,2025,12,Silverstone
8.0,BEA,87,Haas F1 Team,2025,12,Silverstone
9.0,ALO,14,Aston Martin,2025,12,Silverstone
10.0,GAS,10,Alpine,2025,12,Silverstone
11.0,SAI,55,Williams,2025,12,Silverstone
12.0,TSU,22,Red Bull Racing,2025,12,Silverstone
13.0,HAD,6,Racing Bulls,2025,12,Silverstone
14.0,ALB,23,Williams,2025,12,Silverstone
15.0,OCO,31,Haas F1 Team,2025,12,Silverstone
16.0,LAW,30,Racing Bulls,2025,12,Silverstone
17.0,BOR,5,Kick Sauber,2025,12,Silverstone
18.0,STR,18,Aston Martin,2025,12,Silverstone
19.0,HUL,27,Kick Sauber,2025,12,Silverstone
20.0,COL,43,Alpine,2025,12,Silverstone
1.0,NOR,4,McLaren,2025,13,Spa-Francorchamps
2.0,PIA,81,McLaren,2025,13,Spa-Francorchamps
3.0,LEC,16,Ferrari,2025,13,Spa-Francorchamps
4.0,VER,1,Red Bull Racing,2025,13,Spa-Francorchamps
5.0,ALB,23,Williams,2025,13,Spa-Francorchamps
6.0,RUS,63,Mercedes,2025,13,Spa-Francorchamps
7.0,TSU,22,Red Bull Racing,2025,13,Spa-Francorchamps
8.0,HAD,6,Racing Bulls,2025,13,Spa-Francorchamps
9.0,LAW,30,Racing Bulls,2025,13,Spa-Francorchamps
10.0,BOR,5,Kick Sauber,2025,13,Spa-Francorchamps
11.0,OCO,31,Haas F1 Team,2025,13,Spa-Francorchamps
12.0,BEA,87,Haas F1 Team,2025,13,Spa-Francorchamps
13.0,GAS,10,Alpine,2025,13,Spa-Francorchamps
14.0,HUL,27,Kick Sauber,2025,13,Spa-Francorchamps
15.0,SAI,55,Williams,2025,13,Spa-Francorchamps
16.0,HAM,44,Ferrari,2025,13,Spa-Francorchamps
17.0,COL,43,Alpine,2025,13,Spa-Francorchamps
18.0,ANT,12,Mercedes,2025,13,Spa-Francorchamps
19.0,ALO,14,Aston Martin,2025,13,Spa-Francorchamps
20.0,STR,18,Aston Martin,2025,13,Spa-Francorchamps
1.0,LEC,16,Ferrari,2025,14,Budapest
2.0,PIA,81,McLaren,2025,14,Budapest
3.0,NOR,4,McLaren,2025,14,Budapest
4.0,RUS,63,Mercedes,2025,14,Budapest
5.0,ALO,14,Aston Martin,2025,14,Budapest
6.0,STR,18,Aston Martin,2025,14,Budapest
7.0,BOR,5,Kick Sauber,2025,14,Budapest
8.0,VER,1,Red Bull Racing,2025,14,Budapest
9.0,LAW,30,Racing Bulls,2025,14,Budapest
10.0,HAD,6,Racing Bulls,2025,14,Budapest
11.0,BEA,87,Haas F1 Team,2025,14,Budapest
12.0,HAM,44,Ferrari,2025,14,Budapest
13.0,SAI,55,Williams,2025,14,Budapest
14.0,COL,43,Alpine,2025,14,Budapest
15.0,ANT,12,Mercedes,2025,14,Budapest
16.0,TSU,22,Red Bull Racing,2025,14,Budapest
17.0,GAS,10,Alpine,2025,14,Budapest
18.0,OCO,31,Haas F1 Team,2025,14,Budapest
19.0,HUL,27,Kick Sauber,2025,14,Budapest
20.0,ALB,23,Williams,2025,14,Budapest
