Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
1.0,NOR,4,McLaren,2025,1,Melbourne
2.0,PIA,81,McLaren,2025,1,Melbourne
3.0,VER,1,Red Bull Racing,2025,1,Melbourne
4.0,RUS,63,Mercedes,2025,1,Melbourne
5.0,TSU,22,Racing Bulls,2025,1,Melbourne
6.0,ALB,23,Williams,2025,1,Melbourne
7.0,LEC,16,Ferrari,2025,1,Melbourne
8.0,HAM,44,Ferrari,2025,1,Melbourne
9.0,GAS,10,Alpine,2025,1,Melbourne
10.0,SAI,55,Williams,2025,1,Melbourne
11.0,HAD,6,Racing Bulls,2025,1,Melbourne
12.0,ALO,14,Aston Martin,2025,1,Melbourne
13.0,STR,18,Aston Martin,2025,1,Melbourne
14.0,DOO,7,Alpine,2025,1,Melbourne
15.0,BOR,5,Kick Sauber,2025,1,Melbourne
16.0,ANT,12,Mercedes,2025,1,Melbourne
17.0,HUL,27,Kick Sauber,2025,1,Melbourne
18.0,LAW,30,Red Bull Racing,2025,1,Melbourne
19.0,OCO,31,Haas F1 Team,2025,1,Melbourne
20.0,BEA,87,Haas F1 Team,2025,1,Melbourne
1.0,PIA,81,McLaren,2025,2,Shanghai
2.0,RUS,63,Mercedes,2025,2,Shanghai
3.0,NOR,4,McLaren,2025,2,Shanghai
4.0,VER,1,Red Bull Racing,2025,2,Shanghai
5.0,HAM,44,Ferrari,2025,2,Shanghai
6.0,LEC,16,Ferrari,2025,2,Shanghai
7.0,HAD,6,Racing Bulls,2025,2,Shanghai
8.0,ANT,12,Mercedes,2025,2,Shanghai
9.0,TSU,22,Racing Bulls,2025,2,Shanghai
10.0,ALB,23,Williams,2025,2,Shanghai
11.0,OCO,31,Haas F1 Team,2025,2,Shanghai
12.0,HUL,27,Kick Sauber,2025,2,Shanghai
13.0,ALO,14,Aston Martin,2025,2,Shanghai
14.0,STR,18,Aston Martin,2025,2,Shanghai
15.0,SAI,55,Williams,2025,2,Shanghai
16.0,GAS,10,Alpine,2025,2,Shanghai
17.0,BEA,87,Haas F1 Team,2025,2,Shanghai
18.0,DOO,7,Alpine,2025,2,Shanghai
19.0,BOR,5,Kick Sauber,2025,2,Shanghai
20.0,LAW,30,Red Bull Racing,2025,2,Shanghai
1.0,VER,1,Red Bull Racing,2025,3,Suzuka
2.0,NOR,4,McLaren,2025,3,Suzuka
3.0,PIA,81,McLaren,2025,3,Suzuka
4.0,LEC,16,Ferrari,2025,3,Suzuka
5.0,RUS,63,Mercedes,2025,3,Suzuka
6.0,ANT,12,Mercedes,2025,3,Suzuka
7.0,HAD,6,Racing Bulls,2025,3,Suzuka
8.0,HAM,44,Ferrari,2025,3,Suzuka
9.0,ALB,23,Williams,2025,3,Suzuka
10.0,BEA,87,Haas F1 Team,2025,3,Suzuka
11.0,GAS,10,Alpine,2025,3,Suzuka
12.0,SAI,55,Williams,2025,3,Suzuka
13.0,ALO,14,Aston Martin,2025,3,Suzuka
14.0,LAW,30,Racing Bulls,2025,3,Suzuka
15.0,TSU,22,Red Bull Racing,2025,3,Suzuka
16.0,HUL,27,Kick Sauber,2025,3,Suzuka
17.0,BOR,5,Kick Sauber,2025,3,Suzuka
18.0,OCO,31,Haas F1 Team,2025,3,Suzuka
19.0,DOO,7,Alpine,2025,3,Suzuka
20.0,STR,18,Aston Martin,2025,3,Suzuka
1.0,PIA,81,McLaren,2025,4,Sakhir
2.0,RUS,63,Mercedes,2025,4,Sakhir
3.0,LEC,16,Ferrari,2025,4,Sakhir
4.0,ANT,12,Mercedes,2025,4,Sakhir
5.0,GAS,10,Alpine,2025,4,Sakhir
6.0,NOR,4,McLaren,2025,4,Sakhir
7.0,VER,1,Red Bull Racing,2025,4,Sakhir
8.0,SAI,55,Williams,2025,4,Sakhir
9.0,HAM,44,Ferrari,2025,4,Sakhir
10.0,TSU,22,Red Bull Racing,2025,4,Sakhir
11.0,DOO,7,Alpine,2025,4,Sakhir
12.0,HAD,6,Racing Bulls,2025,4,Sakhir
13.0,ALO,14,Aston Martin,2025,4,Sakhir
14.0,OCO,31,Haas F1 Team,2025,4,Sakhir
15.0,ALB,23,Williams,2025,4,Sakhir
16.0,HUL,27,Kick Sauber,2025,4,Sakhir
17.0,LAW,30,Racing Bulls,2025,4,Sakhir
18.0,BOR,5,Kick Sauber,2025,4,Sakhir
19.0,STR,18,Aston Martin,2025,4,Sakhir
20.0,BEA,87,Haas F1 Team,2025,4,Sakhir
1.0,VER,1,Red Bull Racing,2025,5,Jeddah
2.0,PIA,81,McLaren,2025,5,Jeddah
3.0,RUS,63,Mercedes,2025,5,Jeddah
4.0,LEC,16,Ferrari,2025,5,Jeddah
5.0,ANT,12,Mercedes,2025,5,Jeddah
6.0,SAI,55,Williams,2025,5,Jeddah
7.0,HAM,44,Ferrari,2025,5,Jeddah
8.0,TSU,22,Red Bull Racing,2025,5,Jeddah
9.0,GAS,10,Alpine,2025,5,Jeddah
10.0,NOR,4,McLaren,2025,5,Jeddah
11.0,ALB,23,Williams,2025,5,Jeddah
12.0,LAW,30,Racing Bulls,2025,5,Jeddah
13.0,ALO,14,Aston Martin,2025,5,Jeddah
14.0,HAD,6,Racing Bulls,2025,5,Jeddah
15.0,BEA,87,Haas F1 Team,2025,5,Jeddah
16.0,STR,18,Aston Martin,2025,5,Jeddah
17.0,DOO,7,Alpine,2025,5,Jeddah
18.0,HUL,27,Kick Sauber,2025,5,Jeddah
19.0,OCO,31,Haas F1 Team,2025,5,Jeddah
20.0,BOR,5,Kick Sauber,2025,5,Jeddah
1.0,VER,1,Red Bull Racing,2025,6,Miami
2.0,NOR,4,McLaren,2025,6,Miami
3.0,ANT,12,Mercedes,2025,6,Miami
4.0,PIA,81,McLaren,2025,6,Miami
5.0,RUS,63,Mercedes,2025,6,Miami
6.0,SAI,55,Williams,2025,6,Miami
7.0,ALB,23,Williams,2025,6,Miami
8.0,LEC,16,Ferrari,2025,6,Miami
9.0,OCO,31,Haas F1 Team,2025,6,Miami
10.0,TSU,22,Red Bull Racing,2025,6,Miami
11.0,HAD,6,Racing Bulls,2025,6,Miami
12.0,HAM,44,Ferrari,2025,6,Miami
13.0,BOR,5,Kick Sauber,2025,6,Miami
14.0,DOO,7,Alpine,2025,6,Miami
15.0,LAW,30,Racing Bulls,2025,6,Miami
16.0,HUL,27,Kick Sauber,2025,6,Miami
17.0,ALO,14,Aston Martin,2025,6,Miami
18.0,GAS,10,Alpine,2025,6,Miami
19.0,STR,18,Aston Martin,2025,6,Miami
20.0,BEA,87,Haas F1 Team,2025,6,Miami
1.0,PIA,81,McLaren,2025,7,Imola
2.0,VER,1,Red Bull Racing,2025,7,Imola
3.0,RUS,63,Mercedes,2025,7,Imola
4.0,NOR,4,McLaren,2025,7,Imola
5.0,ALO,14,Aston Martin,2025,7,Imola
6.0,SAI,55,Williams,2025,7,Imola
7.0,ALB,23,Williams,2025,7,Imola
8.0,STR,18,Aston Martin,2025,7,Imola
9.0,HAD,6,Racing Bulls,2025,7,Imola
10.0,GAS,10,Alpine,2025,7,Imola
11.0,LEC,16,Ferrari,2025,7,Imola
12.0,HAM,44,Ferrari,2025,7,Imola
13.0,ANT,12,Mercedes,2025,7,Imola
14.0,BOR,5,Kick Sauber,2025,7,Imola
15.0,COL,43,Alpine,2025,7,Imola
16.0,LAW,30,Racing Bulls,2025,7,Imola
17.0,HUL,27,Kick Sauber,2025,7,Imola
18.0,OCO,31,Haas F1 Team,2025,7,Imola
19.0,BEA,87,Haas F1 Team,2025,7,Imola
20.0,TSU,22,Red Bull Racing,2025,7,Imola
1.0,NOR,4,McLaren,2025,8,Monaco
2.0,LEC,16,Ferrari,2025,8,Monaco
3.0,PIA,81,McLaren,2025,8,Monaco
4.0,HAM,44,Ferrari,2025,8,Monaco
5.0,VER,1,Red Bull Racing,2025,8,Monaco
6.0,HAD,6,Racing Bulls,2025,8,Monaco
7.0,ALO,14,Aston Martin,2025,8,Monaco
8.0,OCO,31,Haas F1 Team,2025,8,Monaco
9.0,LAW,30,Racing Bulls,2025,8,Monaco
10.0,ALB,23,Williams,2025,8,Monaco
11.0,SAI,55,Williams,2025,8,Monaco
12.0,TSU,22,Red Bull Racing,2025,8,Monaco
13.0,HUL,27,Kick Sauber,2025,8,Monaco
14.0,RUS,63,Mercedes,2025,8,Monaco
