Position,Abbreviation,DriverNumber,TeamName,GridPosition,Year,Round,Circuit
1.0,HAM,44,Mercedes,2.0,2021,1,Sakhir
2.0,VER,33,Red Bull Racing,1.0,2021,1,Sakhir
3.0,BOT,77,Mercedes,3.0,2021,1,Sakhir
4.0,NOR,4,McLaren,7.0,2021,1,Sakhir
5.0,PER,11,Red Bull Racing,0.0,2021,1,Sakhir
6.0,LEC,16,Ferrari,4.0,2021,1,Sakhir
7.0,RIC,3,McLaren,6.0,2021,1,Sakhir
8.0,SAI,55,Ferrari,8.0,2021,1,Sakhir
9.0,TSU,22,AlphaTauri,13.0,2021,1,Sakhir
10.0,STR,18,Aston Martin,10.0,2021,1,Sakhir
11.0,RAI,7,Alfa Romeo Racing,14.0,2021,1,Sakhir
12.0,GIO,99,Alfa Romeo Racing,12.0,2021,1,Sakhir
13.0,OCO,31,Alpine,16.0,2021,1,Sakhir
14.0,RUS,63,Williams,15.0,2021,1,Sakhir
15.0,VET,5,Aston Martin,20.0,2021,1,Sakhir
16.0,MSC,47,Haas F1 Team,18.0,2021,1,Sakhir
17.0,GAS,10,AlphaTauri,5.0,2021,1,Sakhir
18.0,LAT,6,Williams,17.0,2021,1,Sakhir
19.0,ALO,14,Alpine,9.0,2021,1,Sakhir
20.0,MAZ,9,Haas F1 Team,19.0,2021,1,Sakhir
1.0,VER,33,Red Bull Racing,3.0,2021,2,Imola
2.0,HAM,44,Mercedes,1.0,2021,2,Imola
3.0,NOR,4,McLaren,7.0,2021,2,Imola
4.0,LEC,16,Ferrari,4.0,2021,2,Imola
5.0,SAI,55,Ferrari,11.0,2021,2,Imola
6.0,RIC,3,McLaren,6.0,2021,2,Imola
7.0,GAS,10,AlphaTauri,5.0,2021,2,Imola
8.0,STR,18,Aston Martin,10.0,2021,2,Imola
9.0,OCO,31,Alpine,9.0,2021,2,Imola
10.0,ALO,14,Alpine,15.0,2021,2,Imola
11.0,PER,11,Red Bull Racing,2.0,2021,2,Imola
12.0,TSU,22,AlphaTauri,20.0,2021,2,Imola
13.0,RAI,7,Alfa Romeo Racing,16.0,2021,2,Imola
14.0,GIO,99,Alfa Romeo Racing,17.0,2021,2,Imola
15.0,VET,5,Aston Martin,0.0,2021,2,Imola
16.0,MSC,47,Haas F1 Team,18.0,2021,2,Imola
17.0,MAZ,9,Haas F1 Team,19.0,2021,2,Imola
18.0,BOT,77,Mercedes,8.0,2021,2,Imola
19.0,RUS,63,Williams,12.0,2021,2,Imola
20.0,LAT,6,Williams,14.0,2021,2,Imola
1.0,HAM,44,Mercedes,2.0,2021,3,Portimão
2.0,VER,33,Red Bull Racing,3.0,2021,3,Portimão
3.0,BOT,77,Mercedes,1.0,2021,3,Portimão
4.0,PER,11,Red Bull Racing,4.0,2021,3,Portimão
5.0,NOR,4,McLaren,7.0,2021,3,Portimão
6.0,LEC,16,Ferrari,8.0,2021,3,Portimão
7.0,OCO,31,Alpine,6.0,2021,3,Portimão
8.0,ALO,14,Alpine,13.0,2021,3,Portimão
9.0,RIC,3,McLaren,16.0,2021,3,Portimão
10.0,GAS,10,AlphaTauri,9.0,2021,3,Portimão
11.0,SAI,55,Ferrari,5.0,2021,3,Portimão
12.0,GIO,99,Alfa Romeo Racing,12.0,2021,3,Portimão
13.0,VET,5,Aston Martin,10.0,2021,3,Portimão
14.0,STR,18,Aston Martin,17.0,2021,3,Portimão
15.0,TSU,22,AlphaTauri,14.0,2021,3,Portimão
16.0,RUS,63,Williams,11.0,2021,3,Portimão
17.0,MSC,47,Haas F1 Team,19.0,2021,3,Portimão
18.0,LAT,6,Williams,18.0,2021,3,Portimão
19.0,MAZ,9,Haas F1 Team,20.0,2021,3,Portimão
20.0,RAI,7,Alfa Romeo Racing,15.0,2021,3,Portimão
1.0,HAM,44,Mercedes,1.0,2021,4,Barcelona
2.0,VER,33,Red Bull Racing,2.0,2021,4,Barcelona
3.0,BOT,77,Mercedes,3.0,2021,4,Barcelona
4.0,LEC,16,Ferrari,4.0,2021,4,Barcelona
5.0,PER,11,Red Bull Racing,8.0,2021,4,Barcelona
6.0,RIC,3,McLaren,7.0,2021,4,Barcelona
7.0,SAI,55,Ferrari,6.0,2021,4,Barcelona
8.0,NOR,4,McLaren,9.0,2021,4,Barcelona
9.0,OCO,31,Alpine,5.0,2021,4,Barcelona
10.0,GAS,10,AlphaTauri,12.0,2021,4,Barcelona
11.0,STR,18,Aston Martin,11.0,2021,4,Barcelona
12.0,RAI,7,Alfa Romeo Racing,17.0,2021,4,Barcelona
13.0,VET,5,Aston Martin,13.0,2021,4,Barcelona
14.0,RUS,63,Williams,15.0,2021,4,Barcelona
15.0,GIO,99,Alfa Romeo Racing,14.0,2021,4,Barcelona
16.0,LAT,6,Williams,19.0,2021,4,Barcelona
17.0,ALO,14,Alpine,10.0,2021,4,Barcelona
18.0,MSC,47,Haas F1 Team,18.0,2021,4,Barcelona
19.0,MAZ,9,Haas F1 Team,20.0,2021,4,Barcelona
20.0,TSU,22,AlphaTauri,16.0,2021,4,Barcelona
1.0,VER,33,Red Bull Racing,2.0,2021,5,Monte Carlo
2.0,SAI,55,Ferrari,4.0,2021,5,Monte Carlo
3.0,NOR,4,McLaren,5.0,2021,5,Monte Carlo
4.0,PER,11,Red Bull Racing,9.0,2021,5,Monte Carlo
5.0,VET,5,Aston Martin,8.0,2021,5,Monte Carlo
6.0,GAS,10,AlphaTauri,6.0,2021,5,Monte Carlo
7.0,HAM,44,Mercedes,7.0,2021,5,Monte Carlo
8.0,STR,18,Aston Martin,13.0,2021,5,Monte Carlo
9.0,OCO,31,Alpine,11.0,2021,5,Monte Carlo
10.0,GIO,99,Alfa Romeo Racing,10.0,2021,5,Monte Carlo
11.0,RAI,7,Alfa Romeo Racing,14.0,2021,5,Monte Carlo
12.0,RIC,3,McLaren,12.0,2021,5,Monte Carlo
13.0,ALO,14,Alpine,17.0,2021,5,Monte Carlo
14.0,RUS,63,Williams,15.0,2021,5,Monte Carlo
15.0,LAT,6,Williams,18.0,2021,5,Monte Carlo
16.0,TSU,22,AlphaTauri,16.0,2021,5,Monte Carlo
17.0,MAZ,9,Haas F1 Team,19.0,2021,5,Monte Carlo
18.0,MSC,47,Haas F1 Team,20.0,2021,5,Monte Carlo
19.0,BOT,77,Mercedes,3.0,2021,5,Monte Carlo
20.0,LEC,16,Ferrari,1.0,2021,5,Monte Carlo
1.0,PER,11,Red Bull Racing,6.0,2021,6,Baku
2.0,VET,5,Aston Martin,11.0,2021,6,Baku
3.0,GAS,10,AlphaTauri,4.0,2021,6,Baku
4.0,LEC,16,Ferrari,1.0,2021,6,Baku
5.0,NOR,4,McLaren,9.0,2021,6,Baku
6.0,ALO,14,Alpine,8.0,2021,6,Baku
7.0,TSU,22,AlphaTauri,7.0,2021,6,Baku
8.0,SAI,55,Ferrari,5.0,2021,6,Baku
9.0,RIC,3,McLaren,13.0,2021,6,Baku
10.0,RAI,7,Alfa Romeo Racing,14.0,2021,6,Baku
11.0,GIO,99,Alfa Romeo Racing,20.0,2021,6,Baku
12.0,BOT,77,Mercedes,10.0,2021,6,Baku
13.0,MSC,47,Haas F1 Team,17.0,2021,6,Baku
14.0,MAZ,9,Haas F1 Team,18.0,2021,6,Baku
15.0,HAM,44,Mercedes,2.0,2021,6,Baku
16.0,LAT,6,Williams,16.0,2021,6,Baku
17.0,RUS,63,Williams,15.0,2021,6,Baku
18.0,VER,33,Red Bull Racing,3.0,2021,6,Baku
19.0,STR,18,Aston Martin,19.0,2021,6,Baku
20.0,OCO,31,Alpine,12.0,2021,6,Baku
1.0,VER,33,Red Bull Racing,1.0,2021,7,Le Castellet
2.0,HAM,44,Mercedes,2.0,2021,7,Le Castellet
3.0,PER,11,Red Bull Racing,4.0,2021,7,Le Castellet
4.0,BOT,77,Mercedes,3.0,2021,7,Le Castellet
5.0,NOR,4,McLaren,8.0,2021,7,Le Castellet
6.0,RIC,3,McLaren,10.0,2021,7,Le Castellet
7.0,GAS,10,AlphaTauri,6.0,2021,7,Le Castellet
8.0,ALO,14,Alpine,9.0,2021,7,Le Castellet
9.0,VET,5,Aston Martin,12.0,2021,7,Le Castellet
10.0,STR,18,Aston Martin,19.0,2021,7,Le Castellet
11.0,SAI,55,Ferrari,5.0,2021,7,Le Castellet
12.0,RUS,63,Williams,14.0,2021,7,Le Castellet
13.0,TSU,22,AlphaTauri,0.0,2021,7,Le Castellet
14.0,OCO,31,Alpine,11.0,2021,7,Le Castellet
15.0,GIO,99,Alfa Romeo Racing,13.0,2021,7,Le Castellet
16.0,LEC,16,Ferrari,7.0,2021,7,Le Castellet
17.0,RAI,7,Alfa Romeo Racing,17.0,2021,7,Le Castellet
18.0,LAT,6,Williams,16.0,2021,7,Le Castellet
19.0,MSC,47,Haas F1 Team,15.0,2021,7,Le Castellet
20.0,MAZ,9,Haas F1 Team,18.0,2021,7,Le Castellet
1.0,VER,33,Red Bull Racing,1.0,2021,8,Spielberg
2.0,HAM,44,Mercedes,2.0,2021,8,Spielberg
3.0,BOT,77,Mercedes,5.0,2021,8,Spielberg
4.0,PER,11,Red Bull Racing,4.0,2021,8,Spielberg
5.0,NOR,4,McLaren,3.0,2021,8,Spielberg
6.0,SAI,55,Ferrari,12.0,2021,8,Spielberg
7.0,LEC,16,Ferrari,7.0,2021,8,Spielberg
8.0,STR,18,Aston Martin,9.0,2021,8,Spielberg
9.0,ALO,14,Alpine,8.0,2021,8,Spielberg
10.0,TSU,22,AlphaTauri,11.0,2021,8,Spielberg
11.0,RAI,7,Alfa Romeo Racing,18.0,2021,8,Spielberg
12.0,VET,5,Aston Martin,14.0,2021,8,Spielberg
13.0,RIC,3,McLaren,13.0,2021,8,Spielberg
14.0,OCO,31,Alpine,17.0,2021,8,Spielberg
15.0,GIO,99,Alfa Romeo Racing,15.0,2021,8,Spielberg
16.0,MSC,47,Haas F1 Team,19.0,2021,8,Spielberg
17.0,LAT,6,Williams,16.0,2021,8,Spielberg
18.0,MAZ,9,Haas F1 Team,20.0,2021,8,Spielberg
19.0,RUS,63,Williams,10.0,2021,8,Spielberg
20.0,GAS,10,AlphaTauri,6.0,2021,8,Spielberg
1.0,VER,33,Red Bull Racing,1.0,2021,9,Spielberg
2.0,BOT,77,Mercedes,5.0,2021,9,Spielberg
3.0,NOR,4,McLaren,2.0,2021,9,Spielberg
4.0,HAM,44,Mercedes,4.0,2021,9,Spielberg
5.0,SAI,55,Ferrari,10.0,2021,9,Spielberg
6.0,PER,11,Red Bull Racing,3.0,2021,9,Spielberg
7.0,RIC,3,McLaren,13.0,2021,9,Spielberg
8.0,LEC,16,Ferrari,12.0,2021,9,Spielberg
