Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
3.0,NOR,4,McLaren,2023,11,Budapest
4.0,PIA,81,McLaren,2023,11,Budapest
5.0,ZHO,24,Alfa Romeo,2023,11,Budapest
6.0,LEC,16,Ferrari,2023,11,Budapest
7.0,BOT,77,Alfa Romeo,2023,11,Budapest
8.0,ALO,14,Aston Martin,2023,11,Budapest
9.0,PER,11,Red Bull Racing,2023,11,Budapest
10.0,HUL,27,Haas F1 Team,2023,11,Budapest
11.0,SAI,55,Ferrari,2023,11,Budapest
12.0,OCO,31,Alpine,2023,11,Budapest
13.0,RIC,3,AlphaTauri,2023,11,Budapest
14.0,STR,18,Aston Martin,2023,11,Budapest
15.0,GAS,10,Alpine,2023,11,Budapest
16.0,ALB,23,Williams,2023,11,Budapest
17.0,TSU,22,AlphaTauri,2023,11,Budapest
18.0,RUS,63,Mercedes,2023,11,Budapest
19.0,MAG,20,Haas F1 Team,2023,11,Budapest
20.0,SAR,2,Williams,2023,11,Budapest
1.0,VER,1,Red Bull Racing,2023,12,Spa-Francorchamps
2.0,LEC,16,Ferrari,2023,12,Spa-Francorchamps
3.0,PER,11,Red Bull Racing,2023,12,Spa-Francorchamps
4.0,HAM,44,Mercedes,2023,12,Spa-Francorchamps
5.0,SAI,55,Ferrari,2023,12,Spa-Francorchamps
6.0,PIA,81,McLaren,2023,12,Spa-Francorchamps
7.0,NOR,4,McLaren,2023,12,Spa-Francorchamps
8.0,RUS,63,Mercedes,2023,12,Spa-Francorchamps
9.0,ALO,14,Aston Martin,2023,12,Spa-Francorchamps
10.0,STR,18,Aston Martin,2023,12,Spa-Francorchamps
11.0,TSU,22,AlphaTauri,2023,12,Spa-Francorchamps
12.0,GAS,10,Alpine,2023,12,Spa-Francorchamps
13.0,MAG,20,Haas F1 Team,2023,12,Spa-Francorchamps
14.0,BOT,77,Alfa Romeo,2023,12,Spa-Francorchamps
15.0,OCO,31,Alpine,2023,12,Spa-Francorchamps
16.0,ALB,23,Williams,2023,12,Spa-Francorchamps
17.0,ZHO,24,Alfa Romeo,2023,12,Spa-Francorchamps
18.0,SAR,2,Williams,2023,12,Spa-Francorchamps
19.0,RIC,3,AlphaTauri,2023,12,Spa-Francorchamps
20.0,HUL,27,Haas F1 Team,2023,12,Spa-Francorchamps
1.0,VER,1,Red Bull Racing,2023,13,Zandvoort
2.0,NOR,4,McLaren,2023,13,Zandvoort
3.0,RUS,63,Mercedes,2023,13,Zandvoort
4.0,ALB,23,Williams,2023,13,Zandvoort
5.0,ALO,14,Aston Martin,2023,13,Zandvoort
6.0,SAI,55,Ferrari,2023,13,Zandvoort
7.0,PER,11,Red Bull Racing,2023,13,Zandvoort
8.0,PIA,81,McLaren,2023,13,Zandvoort
9.0,LEC,16,Ferrari,2023,13,Zandvoort
10.0,SAR,2,Williams,2023,13,Zandvoort
11.0,STR,18,Aston Martin,2023,13,Zandvoort
12.0,GAS,10,Alpine,2023,13,Zandvoort
13.0,HAM,44,Mercedes,2023,13,Zandvoort
14.0,TSU,22,AlphaTauri,2023,13,Zandvoort
15.0,HUL,27,Haas F1 Team,2023,13,Zandvoort
16.0,ZHO,24,Alfa Romeo,2023,13,Zandvoort
17.0,OCO,31,Alpine,2023,13,Zandvoort
18.0,MAG,20,Haas F1 Team,2023,13,Zandvoort
19.0,BOT,77,Alfa Romeo,2023,13,Zandvoort
20.0,LAW,40,AlphaTauri,2023,13,Zandvoort
1.0,SAI,55,Ferrari,2023,14,Monza
2.0,VER,1,Red Bull Racing,2023,14,Monza
3.0,LEC,16,Ferrari,2023,14,Monza
4.0,RUS,63,Mercedes,2023,14,Monza
5.0,PER,11,Red Bull Racing,2023,14,Monza
6.0,ALB,23,Williams,2023,14,Monza
7.0,PIA,81,McLaren,2023,14,Monza
8.0,HAM,44,Mercedes,2023,14,Monza
9.0,NOR,4,McLaren,2023,14,Monza
10.0,ALO,14,Aston Martin,2023,14,Monza
11.0,TSU,22,AlphaTauri,2023,14,Monza
12.0,LAW,40,AlphaTauri,2023,14,Monza
13.0,HUL,27,Haas F1 Team,2023,14,Monza
14.0,BOT,77,Alfa Romeo,2023,14,Monza
15.0,SAR,2,Williams,2023,14,Monza
16.0,ZHO,24,Alfa Romeo,2023,14,Monza
17.0,GAS,10,Alpine,2023,14,Monza
18.0,OCO,31,Alpine,2023,14,Monza
19.0,MAG,20,Haas F1 Team,2023,14,Monza
20.0,STR,18,Aston Martin,2023,14,Monza
1.0,SAI,55,Ferrari,2023,15,Marina Bay
2.0,RUS,63,Mercedes,2023,15,Marina Bay
3.0,LEC,16,Ferrari,2023,15,Marina Bay
4.0,NOR,4,McLaren,2023,15,Marina Bay
5.0,HAM,44,Mercedes,2023,15,Marina Bay
6.0,MAG,20,Haas F1 Team,2023,15,Marina Bay
7.0,ALO,14,Aston Martin,2023,15,Marina Bay
8.0,OCO,31,Alpine,2023,15,Marina Bay
9.0,HUL,27,Haas F1 Team,2023,15,Marina Bay
10.0,LAW,40,AlphaTauri,2023,15,Marina Bay
11.0,VER,1,Red Bull Racing,2023,15,Marina Bay
12.0,GAS,10,Alpine,2023,15,Marina Bay
13.0,PER,11,Red Bull Racing,2023,15,Marina Bay
14.0,ALB,23,Williams,2023,15,Marina Bay
15.0,TSU,22,AlphaTauri,2023,15,Marina Bay
16.0,BOT,77,Alfa Romeo,2023,15,Marina Bay
17.0,PIA,81,McLaren,2023,15,Marina Bay
18.0,SAR,2,Williams,2023,15,Marina Bay
19.0,ZHO,24,Alfa Romeo,2023,15,Marina Bay
20.0,STR,18,Aston Martin,2023,15,Marina Bay
1.0,VER,1,Red Bull Racing,2023,16,Suzuka
2.0,PIA,81,McLaren,2023,16,Suzuka
3.0,NOR,4,McLaren,2023,16,Suzuka
4.0,LEC,16,Ferrari,2023,16,Suzuka
5.0,PER,11,Red Bull Racing,2023,16,Suzuka
6.0,SAI,55,Ferrari,2023,16,Suzuka
7.0,HAM,44,Mercedes,2023,16,Suzuka
8.0,RUS,63,Mercedes,2023,16,Suzuka
9.0,TSU,22,AlphaTauri,2023,16,Suzuka
10.0,ALO,14,Aston Martin,2023,16,Suzuka
11.0,LAW,40,AlphaTauri,2023,16,Suzuka
12.0,GAS,10,Alpine,2023,16,Suzuka
13.0,ALB,23,Williams,2023,16,Suzuka
14.0,OCO,31,Alpine,2023,16,Suzuka
15.0,MAG,20,Haas F1 Team,2023,16,Suzuka
16.0,BOT,77,Alfa Romeo,2023,16,Suzuka
17.0,STR,18,Aston Martin,2023,16,Suzuka
18.0,HUL,27,Haas F1 Team,2023,16,Suzuka
19.0,ZHO,24,Alfa Romeo,2023,16,Suzuka
20.0,SAR,2,Williams,2023,16,Suzuka
1.0,VER,1,Red Bull Racing,2023,17,Lusail
2.0,RUS,63,Mercedes,2023,17,Lusail
3.0,HAM,44,Mercedes,2023,17,Lusail
4.0,ALO,14,Aston Martin,2023,17,Lusail
5.0,LEC,16,Ferrari,2023,17,Lusail
6.0,PIA,81,McLaren,2023,17,Lusail
7.0,GAS,10,Alpine,2023,17,Lusail
8.0,OCO,31,Alpine,2023,17,Lusail
9.0,BOT,77,Alfa Romeo,2023,17,Lusail
10.0,NOR,4,McLaren,2023,17,Lusail
11.0,TSU,22,AlphaTauri,2023,17,Lusail
12.0,SAI,55,Ferrari,2023,17,Lusail
13.0,PER,11,Red Bull Racing,2023,17,Lusail
14.0,ALB,23,Williams,2023,17,Lusail
15.0,HUL,27,Haas F1 Team,2023,17,Lusail
16.0,SAR,2,Williams,2023,17,Lusail
17.0,STR,18,Aston Martin,2023,17,Lusail
18.0,LAW,40,AlphaTauri,2023,17,Lusail
19.0,MAG,20,Haas F1 Team,2023,17,Lusail
20.0,ZHO,24,Alfa Romeo,2023,17,Lusail
1.0,LEC,16,Ferrari,2023,18,Austin
2.0,NOR,4,McLaren,2023,18,Austin
3.0,HAM,44,Mercedes,2023,18,Austin
4.0,SAI,55,Ferrari,2023,18,Austin
5.0,RUS,63,Mercedes,2023,18,Austin
6.0,VER,1,Red Bull Racing,2023,18,Austin
7.0,GAS,10,Alpine,2023,18,Austin
8.0,OCO,31,Alpine,2023,18,Austin
9.0,PER,11,Red Bull Racing,2023,18,Austin
10.0,PIA,81,McLaren,2023,18,Austin
11.0,TSU,22,AlphaTauri,2023,18,Austin
12.0,ZHO,24,Alfa Romeo,2023,18,Austin
13.0,BOT,77,Alfa Romeo,2023,18,Austin
14.0,MAG,20,Haas F1 Team,2023,18,Austin
15.0,RIC,3,AlphaTauri,2023,18,Austin
16.0,HUL,27,Haas F1 Team,2023,18,Austin
17.0,ALO,14,Aston Martin,2023,18,Austin
18.0,ALB,23,Williams,2023,18,Austin
19.0,STR,18,Aston Martin,2023,18,Austin
20.0,SAR,2,Williams,2023,18,Austin
1.0,LEC,16,Ferrari,2023,19,Mexico City
2.0,SAI,55,Ferrari,2023,19,Mexico City
3.0,VER,1,Red Bull Racing,2023,19,Mexico City
4.0,RIC,3,AlphaTauri,2023,19,Mexico City
5.0,PER,11,Red Bull Racing,2023,19,Mexico City
6.0,HAM,44,Mercedes,2023,19,Mexico City
7.0,PIA,81,McLaren,2023,19,Mexico City
8.0,RUS,63,Mercedes,2023,19,Mexico City
9.0,BOT,77,Alfa Romeo,2023,19,Mexico City
10.0,ZHO,24,Alfa Romeo,2023,19,Mexico City
11.0,GAS,10,Alpine,2023,19,Mexico City
12.0,HUL,27,Haas F1 Team,2023,19,Mexico City
13.0,ALO,14,Aston Martin,2023,19,Mexico City
14.0,ALB,23,Williams,2023,19,Mexico City
15.0,TSU,22,AlphaTauri,2023,19,Mexico City
16.0,OCO,31,Alpine,2023,19,Mexico City
17.0,MAG,20,Haas F1 Team,2023,19,Mexico City
18.0,STR,18,Aston Martin,2023,19,Mexico City
19.0,NOR,4,McLaren,2023,19,Mexico City
20.0,SAR,2,Williams,2023,19,Mexico City
1.0,VER,1,Red Bull Racing,2023,20,São Paulo
2.0,LEC,16,Ferrari,2023,20,São Paulo
3.0,STR,18,Aston Martin,2023,20,São Paulo
4.0,ALO,14,Aston Martin,2023,20,São Paulo
5.0,HAM,44,Mercedes,2023,20,São Paulo
6.0,RUS,63,Mercedes,2023,20,São Paulo
7.0,NOR,4,McLaren,2023,20,São Paulo
8.0,SAI,55,Ferrari,2023,20,São Paulo
9.0,PER,11,Red Bull Racing,2023,20,São Paulo
10.0,PIA,81,McLaren,2023,20,São Paulo
11.0,HUL,27,Haas F1 Team,2023,20,São Paulo
12.0,OCO,31,Alpine,2023,20,São Paulo
13.0,GAS,10,Alpine,2023,20,São Paulo
14.0,MAG,20,Haas F1 Team,2023,20,São Paulo
15.0,ALB,23,Williams,2023,20,São Paulo
16.0,TSU,22,AlphaTauri,2023,20,São Paulo
17.0,RIC,3,AlphaTauri,2023,20,São Paulo
18.0,BOT,77,Alfa Romeo,2023,20,São Paulo
19.0,SAR,2,Williams,2023,20,São Paulo
20.0,ZHO,24,Alfa Romeo,2023,20,São Paulo
1.0,LEC,16,Ferrari,2023,21,Las Vegas
2.0,SAI,55,Ferrari,2023,21,Las Vegas
3.0,VER,1,Red Bull Racing,2023,21,Las Vegas
4.0,RUS,63,Mercedes,2023,21,Las Vegas
5.0,GAS,10,Alpine,2023,21,Las Vegas
6.0,ALB,23,Williams,2023,21,Las Vegas
7.0,SAR,2,Williams,2023,21,Las Vegas
8.0,BOT,77,Alfa Romeo,2023,21,Las Vegas
9.0,MAG,20,Haas F1 Team,2023,21,Las Vegas
10.0,ALO,14,Aston Martin,2023,21,Las Vegas
11.0,HAM,44,Mercedes,2023,21,Las Vegas
12.0,PER,11,Red Bull Racing,2023,21,Las Vegas
13.0,HUL,27,Haas F1 Team,2023,21,Las Vegas
14.0,STR,18,Aston Martin,2023,21,Las Vegas
15.0,RIC,3,AlphaTauri,2023,21,Las Vegas
16.0,NOR,4,McLaren,2023,21,Las Vegas
17.0,OCO,31,Alpine,2023,21,Las Vegas
18.0,ZHO,24,Alfa Romeo,2023,21,Las Vegas
19.0,PIA,81,McLaren,2023,21,Las Vegas
20.0,TSU,22,AlphaTauri,2023,21,Las Vegas
1.0,VER,1,Red Bull Racing,2023,22,Yas Island
2.0,LEC,16,Ferrari,2023,22,Yas Island
3.0,PIA,81,McLaren,2023,22,Yas Island
4.0,RUS,63,Mercedes,2023,22,Yas Island
5.0,NOR,4,McLaren,2023,22,Yas Island
6.0,TSU,22,AlphaTauri,2023,22,Yas Island
7.0,ALO,14,Aston Martin,2023,22,Yas Island
8.0,HUL,27,Haas F1 Team,2023,22,Yas Island
9.0,PER,11,Red Bull Racing,2023,22,Yas Island
10.0,GAS,10,Alpine,2023,22,Yas Island
11.0,HAM,44,Mercedes,2023,22,Yas Island
12.0,OCO,31,Alpine,2023,22,Yas Island
13.0,STR,18,Aston Martin,2023,22,Yas Island
14.0,ALB,23,Williams,2023,22,Yas Island
15.0,RIC,3,AlphaTauri,2023,22,Yas Island
16.0,SAI,55,Ferrari,2023,22,Yas Island
17.0,MAG,20,Haas F1 Team,2023,22,Yas Island
18.0,BOT,77,Alfa Romeo,2023,22,Yas Island
19.0,ZHO,24,Alfa Romeo,2023,22,Yas Island
20.0,SAR,2,Williams,2023,22,Yas Island
