Position,Abbreviation,DriverNumber,TeamName,Year,Round,Circuit
1.0,VER,1,Red Bull Racing,2023,1,Sakhir
2.0,PER,11,Red Bull Racing,2023,1,Sakhir
3.0,LEC,16,Ferrari,2023,1,Sakhir
4.0,SAI,55,Ferrari,2023,1,Sakhir
5.0,ALO,14,Aston Martin,2023,1,Sakhir
6.0,RUS,63,Mercedes,2023,1,Sakhir
7.0,HAM,44,Mercedes,2023,1,Sakhir
8.0,STR,18,Aston Martin,2023,1,Sakhir
9.0,OCO,31,Alpine,2023,1,Sakhir
10.0,HUL,27,Haas F1 Team,2023,1,Sakhir
11.0,NOR,4,McLaren,2023,1,Sakhir
12.0,BOT,77,Alfa Romeo,2023,1,Sakhir
13.0,ZHO,24,Alfa Romeo,2023,1,Sakhir
14.0,TSU,22,AlphaTauri,2023,1,Sakhir
15.0,ALB,23,Williams,2023,1,Sakhir
16.0,SAR,2,Williams,2023,1,Sakhir
17.0,MAG,20,Haas F1 Team,2023,1,Sakhir
18.0,PIA,81,McLaren,2023,1,Sakhir
19.0,DEV,21,AlphaTauri,2023,1,Sakhir
20.0,GAS,10,Alpine,2023,1,Sakhir
1.0,PER,11,Red Bull Racing,2023,2,Jeddah
2.0,LEC,16,Ferrari,2023,2,Jeddah
3.0,ALO,14,Aston Martin,2023,2,Jeddah
4.0,RUS,63,Mercedes,2023,2,Jeddah
5.0,SAI,55,Ferrari,2023,2,Jeddah
6.0,STR,18,Aston Martin,2023,2,Jeddah
7.0,OCO,31,Alpine,2023,2,Jeddah
8.0,HAM,44,Mercedes,2023,2,Jeddah
9.0,PIA,81,McLaren,2023,2,Jeddah
10.0,GAS,10,Alpine,2023,2,Jeddah
11.0,HUL,27,Haas F1 Team,2023,2,Jeddah
12.0,ZHO,24,Alfa Romeo,2023,2,Jeddah
13.0,MAG,20,Haas F1 Team,2023,2,Jeddah
14.0,BOT,77,Alfa Romeo,2023,2,Jeddah
15.0,VER,1,Red Bull Racing,2023,2,Jeddah
16.0,TSU,22,AlphaTauri,2023,2,Jeddah
17.0,ALB,23,Williams,2023,2,Jeddah
18.0,DEV,21,AlphaTauri,2023,2,Jeddah
19.0,NOR,4,McLaren,2023,2,Jeddah
20.0,SAR,2,Williams,2023,2,Jeddah
1.0,VER,1,Red Bull Racing,2023,3,Melbourne
2.0,RUS,63,Mercedes,2023,3,Melbourne
3.0,HAM,44,Mercedes,2023,3,Melbourne
4.0,ALO,14,Aston Martin,2023,3,Melbourne
5.0,SAI,55,Ferrari,2023,3,Melbourne
6.0,STR,18,Aston Martin,2023,3,Melbourne
7.0,LEC,16,Ferrari,2023,3,Melbourne
8.0,ALB,23,Williams,2023,3,Melbourne
9.0,GAS,10,Alpine,2023,3,Melbourne
10.0,HUL,27,Haas F1 Team,2023,3,Melbourne
11.0,OCO,31,Alpine,2023,3,Melbourne
12.0,TSU,22,AlphaTauri,2023,3,Melbourne
13.0,NOR,4,McLaren,2023,3,Melbourne
14.0,MAG,20,Haas F1 Team,2023,3,Melbourne
15.0,DEV,21,AlphaTauri,2023,3,Melbourne
16.0,PIA,81,McLaren,2023,3,Melbourne
17.0,ZHO,24,Alfa Romeo,2023,3,Melbourne
18.0,SAR,2,Williams,2023,3,Melbourne
19.0,BOT,77,Alfa Romeo,2023,3,Melbourne
20.0,PER,11,Red Bull Racing,2023,3,Melbourne
1.0,LEC,16,Ferrari,2023,4,Baku
2.0,VER,1,Red Bull Racing,2023,4,Baku
3.0,PER,11,Red Bull Racing,2023,4,Baku
4.0,SAI,55,Ferrari,2023,4,Baku
5.0,HAM,44,Mercedes,2023,4,Baku
6.0,ALO,14,Aston Martin,2023,4,Baku
7.0,NOR,4,McLaren,2023,4,Baku
8.0,TSU,22,AlphaTauri,2023,4,Baku
9.0,STR,18,Aston Martin,2023,4,Baku
10.0,PIA,81,McLaren,2023,4,Baku
11.0,RUS,63,Mercedes,2023,4,Baku
12.0,OCO,31,Alpine,2023,4,Baku
13.0,ALB,23,Williams,2023,4,Baku
14.0,BOT,77,Alfa Romeo,2023,4,Baku
15.0,SAR,2,Williams,2023,4,Baku
16.0,ZHO,24,Alfa Romeo,2023,4,Baku
17.0,HUL,27,Haas F1 Team,2023,4,Baku
18.0,MAG,20,Haas F1 Team,2023,4,Baku
19.0,GAS,10,Alpine,2023,4,Baku
20.0,DEV,21,AlphaTauri,2023,4,Baku
1.0,PER,11,Red Bull Racing,2023,5,Miami
2.0,ALO,14,Aston Martin,2023,5,Miami
3.0,SAI,55,Ferrari,2023,5,Miami
4.0,MAG,20,Haas F1 Team,2023,5,Miami
5.0,GAS,10,Alpine,2023,5,Miami
6.0,RUS,63,Mercedes,2023,5,Miami
7.0,LEC,16,Ferrari,2023,5,Miami
8.0,OCO,31,Alpine,2023,5,Miami
9.0,VER,1,Red Bull Racing,2023,5,Miami
10.0,BOT,77,Alfa Romeo,2023,5,Miami
11.0,ALB,23,Williams,2023,5,Miami
12.0,HUL,27,Haas F1 Team,2023,5,Miami
13.0,HAM,44,Mercedes,2023,5,Miami
14.0,ZHO,24,Alfa Romeo,2023,5,Miami
15.0,DEV,21,AlphaTauri,2023,5,Miami
16.0,NOR,4,McLaren,2023,5,Miami
17.0,TSU,22,AlphaTauri,2023,5,Miami
18.0,STR,18,Aston Martin,2023,5,Miami
19.0,PIA,81,McLaren,2023,5,Miami
20.0,SAR,2,Williams,2023,5,Miami
1.0,VER,1,Red Bull Racing,2023,6,Monaco
2.0,ALO,14,Aston Martin,2023,6,Monaco
3.0,LEC,16,Ferrari,2023,6,Monaco
4.0,OCO,31,Alpine,2023,6,Monaco
5.0,SAI,55,Ferrari,2023,6,Monaco
6.0,HAM,44,Mercedes,2023,6,Monaco
7.0,GAS,10,Alpine,2023,6,Monaco
8.0,RUS,63,Mercedes,2023,6,Monaco
9.0,TSU,22,AlphaTauri,2023,6,Monaco
10.0,NOR,4,McLaren,2023,6,Monaco
11.0,PIA,81,McLaren,2023,6,Monaco
12.0,DEV,21,AlphaTauri,2023,6,Monaco
13.0,ALB,23,Williams,2023,6,Monaco
14.0,STR,18,Aston Martin,2023,6,Monaco
15.0,BOT,77,Alfa Romeo,2023,6,Monaco
16.0,SAR,2,Williams,2023,6,Monaco
17.0,MAG,20,Haas F1 Team,2023,6,Monaco
18.0,HUL,27,Haas F1 Team,2023,6,Monaco
19.0,ZHO,24,Alfa Romeo,2023,6,Monaco
20.0,PER,11,Red Bull Racing,2023,6,Monaco
1.0,VER,1,Red Bull Racing,2023,7,Barcelona
2.0,SAI,55,Ferrari,2023,7,Barcelona
3.0,NOR,4,McLaren,2023,7,Barcelona
4.0,GAS,10,Alpine,2023,7,Barcelona
5.0,HAM,44,Mercedes,2023,7,Barcelona
6.0,STR,18,Aston Martin,2023,7,Barcelona
7.0,OCO,31,Alpine,2023,7,Barcelona
8.0,HUL,27,Haas F1 Team,2023,7,Barcelona
9.0,ALO,14,Aston Martin,2023,7,Barcelona
10.0,PIA,81,McLaren,2023,7,Barcelona
11.0,PER,11,Red Bull Racing,2023,7,Barcelona
12.0,RUS,63,Mercedes,2023,7,Barcelona
13.0,ZHO,24,Alfa Romeo,2023,7,Barcelona
14.0,DEV,21,AlphaTauri,2023,7,Barcelona
15.0,TSU,22,AlphaTauri,2023,7,Barcelona
16.0,BOT,77,Alfa Romeo,2023,7,Barcelona
17.0,MAG,20,Haas F1 Team,2023,7,Barcelona
18.0,ALB,23,Williams,2023,7,Barcelona
19.0,LEC,16,Ferrari,2023,7,Barcelona
20.0,SAR,2,Williams,2023,7,Barcelona
1.0,VER,1,Red Bull Racing,2023,8,Montréal
2.0,HUL,27,Haas F1 Team,2023,8,Montréal
3.0,ALO,14,Aston Martin,2023,8,Montréal
4.0,HAM,44,Mercedes,2023,8,Montréal
5.0,RUS,63,Mercedes,2023,8,Montréal
6.0,OCO,31,Alpine,2023,8,Montréal
7.0,NOR,4,McLaren,2023,8,Montréal
8.0,SAI,55,Ferrari,2023,8,Montréal
9.0,PIA,81,McLaren,2023,8,Montréal
10.0,ALB,23,Williams,2023,8,Montréal
11.0,LEC,16,Ferrari,2023,8,Montréal
12.0,PER,11,Red Bull Racing,2023,8,Montréal
13.0,STR,18,Aston Martin,2023,8,Montréal
14.0,MAG,20,Haas F1 Team,2023,8,Montréal
15.0,BOT,77,Alfa Romeo,2023,8,Montréal
16.0,TSU,22,AlphaTauri,2023,8,Montréal
17.0,GAS,10,Alpine,2023,8,Montréal
18.0,DEV,21,AlphaTauri,2023,8,Montréal
19.0,SAR,2,Williams,2023,8,Montréal
20.0,ZHO,24,Alfa Romeo,2023,8,Montréal
1.0,VER,1,Red Bull Racing,2023,9,Spielberg
2.0,LEC,16,Ferrari,2023,9,Spielberg
3.0,SAI,55,Ferrari,2023,9,Spielberg
4.0,NOR,4,McLaren,2023,9,Spielberg
5.0,HAM,44,Mercedes,2023,9,Spielberg
6.0,STR,18,Aston Martin,2023,9,Spielberg
7.0,ALO,14,Aston Martin,2023,9,Spielberg
8.0,HUL,27,Haas F1 Team,2023,9,Spielberg
9.0,GAS,10,Alpine,2023,9,Spielberg
10.0,ALB,23,Williams,2023,9,Spielberg
11.0,RUS,63,Mercedes,2023,9,Spielberg
12.0,OCO,31,Alpine,2023,9,Spielberg
13.0,PIA,81,McLaren,2023,9,Spielberg
14.0,BOT,77,Alfa Romeo,2023,9,Spielberg
15.0,PER,11,Red Bull Racing,2023,9,Spielberg
16.0,TSU,22,AlphaTauri,2023,9,Spielberg
17.0,ZHO,24,Alfa Romeo,2023,9,Spielberg
18.0,SAR,2,Williams,2023,9,Spielberg
19.0,MAG,20,Haas F1 Team,2023,9,Spielberg
20.0,DEV,21,AlphaTauri,2023,9,Spielberg
1.0,VER,1,Red Bull Racing,2023,10,Silverstone
2.0,NOR,4,McLaren,2023,10,Silverstone
3.0,PIA,81,McLaren,2023,10,Silverstone
4.0,LEC,16,Ferrari,2023,10,Silverstone
5.0,SAI,55,Ferrari,2023,10,Silverstone
6.0,RUS,63,Mercedes,2023,10,Silverstone
7.0,HAM,44,Mercedes,2023,10,Silverstone
8.0,ALB,23,Williams,2023,10,Silverstone
9.0,ALO,14,Aston Martin,2023,10,Silverstone
10.0,GAS,10,Alpine,2023,10,Silverstone
11.0,HUL,27,Haas F1 Team,2023,10,Silverstone
12.0,STR,18,Aston Martin,2023,10,Silverstone
13.0,OCO,31,Alpine,2023,10,Silverstone
14.0,SAR,2,Williams,2023,10,Silverstone
15.0,BOT,77,Alfa Romeo,2023,10,Silverstone
15.0,PER,11,Red Bull Racing,2023,10,Silverstone
16.0,TSU,22,AlphaTauri,2023,10,Silverstone
17.0,ZHO,24,Alfa Romeo,2023,10,Silverstone
18.0,DEV,21,AlphaTauri,2023,10,Silverstone
19.0,MAG,20,Haas F1 Team,2023,10,Silverstone
1.0,HAM,44,Mercedes,2023,11,Budapest
2.0,VER,1,Red Bull Racing,2023,11,Budapest
