Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,VER,1,Red Bull Racing,89.708,0,2023,1,Sakhir
2.0,PER,11,Red Bull Racing,89.846,0,2023,1,Sakhir
3.0,LEC,16,Ferrari,90.0,0,2023,1,Sakhir
4.0,SAI,55,Ferrari,90.154,0,2023,1,Sakhir
5.0,ALO,14,Aston Martin,90.336,0,2023,1,Sakhir
6.0,RUS,63,Mercedes,90.34,0,2023,1,Sakhir
7.0,HAM,44,Mercedes,90.384,0,2023,1,Sakhir
8.0,STR,18,Aston Martin,90.836,0,2023,1,Sakhir
9.0,OCO,31,Alpine,90.914,0,2023,1,Sakhir
10.0,HUL,27,Haas F1 Team,90.809,0,2023,1,Sakhir
11.0,NOR,4,McLaren,91.381,0,2023,1,Sakhir
12.0,BOT,77,Alfa Romeo,91.443,0,2023,1,Sakhir
13.0,ZHO,24,Alfa Romeo,91.473,0,2023,1,Sakhir
14.0,TSU,22,AlphaTauri,91.4,0,2023,1,Sakhir
15.0,ALB,23,Williams,91.461,0,2023,1,Sakhir
16.0,SAR,2,Williams,91.652,0,2023,1,Sakhir
17.0,MAG,20,Haas F1 Team,91.892,0,2023,1,Sakhir
18.0,PIA,81,McLaren,92.101,0,2023,1,Sakhir
19.0,DEV,21,AlphaTauri,92.121,0,2023,1,Sakhir
20.0,GAS,10,Alpine,92.181,0,2023,1,Sakhir
1.0,PER,11,Red Bull Racing,88.265,0,2023,2,Jeddah
2.0,LEC,16,Ferrari,88.42,0,2023,2,Jeddah
3.0,ALO,14,Aston Martin,88.73,0,2023,2,Jeddah
4.0,RUS,63,Mercedes,88.857,0,2023,2,Jeddah
5.0,SAI,55,Ferrari,88.931,0,2023,2,Jeddah
6.0,STR,18,Aston Martin,88.945,0,2023,2,Jeddah
7.0,OCO,31,Alpine,89.078,0,2023,2,Jeddah
8.0,HAM,44,Mercedes,89.223,0,2023,2,Jeddah
9.0,PIA,81,McLaren,89.243,0,2023,2,Jeddah
10.0,GAS,10,Alpine,89.357,0,2023,2,Jeddah
11.0,HUL,27,Haas F1 Team,89.451,0,2023,2,Jeddah
12.0,ZHO,24,Alfa Romeo,89.461,0,2023,2,Jeddah
13.0,MAG,20,Haas F1 Team,89.634,0,2023,2,Jeddah
14.0,BOT,77,Alfa Romeo,89.668,0,2023,2,Jeddah
15.0,VER,1,Red Bull Racing,88.761,0,2023,2,Jeddah
16.0,TSU,22,AlphaTauri,89.939,0,2023,2,Jeddah
17.0,ALB,23,Williams,89.994,0,2023,2,Jeddah
18.0,DEV,21,AlphaTauri,90.244,0,2023,2,Jeddah
19.0,NOR,4,McLaren,90.447,0,2023,2,Jeddah
20.0,SAR,2,Williams,128.51,0,2023,2,Jeddah
