Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,HAM,44,Mercedes,81.164,0,2018,1,Melbourne
2.0,RAI,7,Ferrari,81.828,0,2018,1,Melbourne
3.0,VET,5,Ferrari,81.838,0,2018,1,Melbourne
4.0,VER,33,Red Bull Racing,81.879,0,2018,1,Melbourne
5.0,RIC,3,Red Bull Racing,82.152,0,2018,1,Melbourne
6.0,MAG,20,Haas F1 Team,83.187,0,2018,1,Melbourne
7.0,GRO,8,Haas F1 Team,83.339,0,2018,1,Melbourne
8.0,HUL,27,Renault,83.532,0,2018,1,Melbourne
9.0,SAI,55,Renault,83.061,0,2018,1,Melbourne
10.0,BOT,77,Mercedes,82.089,0,2018,1,Melbourne
11.0,ALO,14,McLaren,83.597,0,2018,1,Melbourne
12.0,VAN,2,McLaren,83.853,0,2018,1,Melbourne
13.0,PER,11,Force India,84.005,0,2018,1,Melbourne
14.0,STR,18,Williams,84.23,0,2018,1,Melbourne
15.0,OCO,31,Force India,84.503,0,2018,1,Melbourne
16.0,HAR,28,Toro Rosso,84.532,0,2018,1,Melbourne
17.0,ERI,9,Sauber,84.556,0,2018,1,Melbourne
18.0,LEC,16,Sauber,84.636,0,2018,1,Melbourne
19.0,SIR,35,Williams,84.922,0,2018,1,Melbourne
20.0,GAS,10,Toro Rosso,85.295,0,2018,1,Melbourne
1.0,VET,5,Ferrari,87.958,0,2018,2,Sakhir
2.0,RAI,7,Ferrari,88.101,0,2018,2,Sakhir
3.0,BOT,77,Mercedes,88.124,0,2018,2,Sakhir
4.0,HAM,44,Mercedes,88.22,0,2018,2,Sakhir
5.0,RIC,3,Red Bull Racing,88.398,0,2018,2,Sakhir
6.0,GAS,10,Toro Rosso,89.329,0,2018,2,Sakhir
7.0,MAG,20,Haas F1 Team,89.358,0,2018,2,Sakhir
8.0,HUL,27,Renault,89.187,0,2018,2,Sakhir
9.0,OCO,31,Force India,89.874,0,2018,2,Sakhir
10.0,SAI,55,Renault,89.802,0,2018,2,Sakhir
11.0,HAR,28,Toro Rosso,90.105,0,2018,2,Sakhir
12.0,PER,11,Force India,90.156,0,2018,2,Sakhir
13.0,ALO,14,McLaren,90.212,0,2018,2,Sakhir
14.0,VAN,2,McLaren,90.479,0,2018,2,Sakhir
15.0,VER,33,Red Bull Racing,89.374,0,2018,2,Sakhir
16.0,GRO,8,Haas F1 Team,90.53,0,2018,2,Sakhir
17.0,ERI,9,Sauber,91.063,0,2018,2,Sakhir
18.0,SIR,35,Williams,91.414,0,2018,2,Sakhir
19.0,LEC,16,Sauber,91.42,0,2018,2,Sakhir
20.0,STR,18,Williams,91.503,0,2018,2,Sakhir
1.0,VET,5,Ferrari,91.095,0,2018,3,Shanghai
2.0,RAI,7,Ferrari,91.182,0,2018,3,Shanghai
3.0,BOT,77,Mercedes,91.625,0,2018,3,Shanghai
4.0,HAM,44,Mercedes,91.675,0,2018,3,Shanghai
5.0,VER,33,Red Bull Racing,91.796,0,2018,3,Shanghai
6.0,RIC,3,Red Bull Racing,91.948,0,2018,3,Shanghai
7.0,HUL,27,Renault,92.494,0,2018,3,Shanghai
8.0,PER,11,Force India,92.758,0,2018,3,Shanghai
9.0,SAI,55,Renault,92.819,0,2018,3,Shanghai
10.0,GRO,8,Haas F1 Team,92.524,0,2018,3,Shanghai
11.0,MAG,20,Haas F1 Team,92.986,0,2018,3,Shanghai
12.0,OCO,31,Force India,93.057,0,2018,3,Shanghai
13.0,ALO,14,McLaren,93.232,0,2018,3,Shanghai
14.0,VAN,2,McLaren,93.505,0,2018,3,Shanghai
15.0,HAR,28,Toro Rosso,93.795,0,2018,3,Shanghai
16.0,SIR,35,Williams,94.062,0,2018,3,Shanghai
17.0,GAS,10,Toro Rosso,94.101,0,2018,3,Shanghai
18.0,STR,18,Williams,94.285,0,2018,3,Shanghai
19.0,LEC,16,Sauber,94.454,0,2018,3,Shanghai
20.0,ERI,9,Sauber,94.914,0,2018,3,Shanghai
1.0,VET,5,Ferrari,101.498,1,2018,4,Baku
2.0,HAM,44,Mercedes,101.677,1,2018,4,Baku
3.0,BOT,77,Mercedes,101.837,1,2018,4,Baku
4.0,RIC,3,Red Bull Racing,101.911,1,2018,4,Baku
5.0,VER,33,Red Bull Racing,101.994,1,2018,4,Baku
6.0,RAI,7,Ferrari,102.49,1,2018,4,Baku
7.0,OCO,31,Force India,102.523,1,2018,4,Baku
8.0,PER,11,Force India,102.547,1,2018,4,Baku
9.0,HUL,27,Renault,103.066,1,2018,4,Baku
10.0,SAI,55,Renault,103.351,1,2018,4,Baku
11.0,STR,18,Williams,103.585,1,2018,4,Baku
12.0,SIR,35,Williams,103.886,1,2018,4,Baku
13.0,ALO,14,McLaren,104.01,1,2018,4,Baku
14.0,LEC,16,Sauber,103.752,1,2018,4,Baku
15.0,MAG,20,Haas F1 Team,103.674,1,2018,4,Baku
16.0,VAN,2,McLaren,104.489,1,2018,4,Baku
17.0,GAS,10,Toro Rosso,104.496,1,2018,4,Baku
18.0,ERI,9,Sauber,105.541,1,2018,4,Baku
19.0,HAR,28,Toro Rosso,117.354,1,2018,4,Baku
20.0,GRO,8,Haas F1 Team,,1,2018,4,Baku
1.0,HAM,44,Mercedes,76.173,1,2018,5,Barcelona
2.0,BOT,77,Mercedes,76.213,1,2018,5,Barcelona
3.0,VET,5,Ferrari,76.305,1,2018,5,Barcelona
4.0,RAI,7,Ferrari,76.612,1,2018,5,Barcelona
5.0,VER,33,Red Bull Racing,76.816,1,2018,5,Barcelona
6.0,RIC,3,Red Bull Racing,76.818,1,2018,5,Barcelona
7.0,MAG,20,Haas F1 Team,77.618,1,2018,5,Barcelona
8.0,ALO,14,McLaren,77.721,1,2018,5,Barcelona
9.0,SAI,55,Renault,77.79,1,2018,5,Barcelona
10.0,GRO,8,Haas F1 Team,77.699,1,2018,5,Barcelona
11.0,VAN,2,McLaren,78.323,1,2018,5,Barcelona
12.0,GAS,10,Toro Rosso,78.463,1,2018,5,Barcelona
13.0,OCO,31,Force India,78.696,1,2018,5,Barcelona
14.0,LEC,16,Sauber,78.661,1,2018,5,Barcelona
15.0,PER,11,Force India,78.74,1,2018,5,Barcelona
16.0,HUL,27,Renault,78.923,1,2018,5,Barcelona
17.0,ERI,9,Sauber,79.493,1,2018,5,Barcelona
18.0,SIR,35,Williams,79.695,1,2018,5,Barcelona
19.0,STR,18,Williams,80.225,1,2018,5,Barcelona
20.0,HAR,28,Toro Rosso,,1,2018,5,Barcelona
1.0,RIC,3,Red Bull Racing,70.81,0,2018,6,Monte Carlo
2.0,VET,5,Ferrari,71.039,0,2018,6,Monte Carlo
3.0,HAM,44,Mercedes,71.232,0,2018,6,Monte Carlo
4.0,RAI,7,Ferrari,71.266,0,2018,6,Monte Carlo
5.0,BOT,77,Mercedes,71.441,0,2018,6,Monte Carlo
6.0,OCO,31,Force India,72.061,0,2018,6,Monte Carlo
7.0,ALO,14,McLaren,72.11,0,2018,6,Monte Carlo
8.0,SAI,55,Renault,72.13,0,2018,6,Monte Carlo
9.0,PER,11,Force India,72.154,0,2018,6,Monte Carlo
10.0,GAS,10,Toro Rosso,72.221,0,2018,6,Monte Carlo
11.0,HUL,27,Renault,72.411,0,2018,6,Monte Carlo
12.0,VAN,2,McLaren,72.44,0,2018,6,Monte Carlo
13.0,SIR,35,Williams,72.521,0,2018,6,Monte Carlo
14.0,LEC,16,Sauber,72.714,0,2018,6,Monte Carlo
15.0,GRO,8,Haas F1 Team,72.728,0,2018,6,Monte Carlo
16.0,HAR,28,Toro Rosso,73.179,0,2018,6,Monte Carlo
17.0,ERI,9,Sauber,73.265,0,2018,6,Monte Carlo
18.0,STR,18,Williams,73.323,0,2018,6,Monte Carlo
19.0,MAG,20,Haas F1 Team,73.393,0,2018,6,Monte Carlo
20.0,VER,33,Red Bull Racing,,0,2018,6,Monte Carlo
1.0,VET,5,Ferrari,70.764,0,2018,7,Montréal
2.0,BOT,77,Mercedes,70.857,0,2018,7,Montréal
