Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit
1.0,BOT,77,Mercedes,1.0,Finished,1,Finished,0,2020,1,Spielberg
2.0,LEC,16,Ferrari,7.0,Finished,1,Finished,0,2020,1,Spielberg
3.0,NOR,4,McLaren,3.0,Finished,1,Finished,0,2020,1,Spielberg
4.0,HAM,44,Mercedes,5.0,Finished,1,Finished,0,2020,1,Spielberg
5.0,SAI,55,McLaren,8.0,Finished,1,Finished,0,2020,1,Spielberg
6.0,PER,11,Racing Point,6.0,Finished,1,Finished,0,2020,1,Spielberg
7.0,GAS,10,AlphaTauri,12.0,Finished,1,Finished,0,2020,1,Spielberg
8.0,OCO,31,Renault,14.0,Finished,1,Finished,0,2020,1,Spielberg
9.0,GIO,99,Alfa Romeo Racing,18.0,Finished,1,Finished,0,2020,1,Spielberg
10.0,VET,5,Ferrari,11.0,Finished,1,Finished,0,2020,1,Spielberg
11.0,LAT,6,Williams,20.0,Finished,1,Finished,0,2020,1,Spielberg
12.0,KVY,26,AlphaTauri,13.0,Suspension,0,Other,0,2020,1,Spielberg
13.0,ALB,23,Red Bull Racing,4.0,Electronics,0,Other,0,2020,1,Spielberg
14.0,RAI,7,Alfa Romeo Racing,19.0,Wheel,0,Other,0,2020,1,Spielberg
15.0,RUS,63,Williams,17.0,Fuel pressure,0,Other,0,2020,1,Spielberg
16.0,GRO,8,Haas F1 Team,15.0,Brakes,0,Other,0,2020,1,Spielberg
17.0,MAG,20,Haas F1 Team,16.0,Brakes,0,Other,0,2020,1,Spielberg
18.0,STR,18,Racing Point,9.0,Engine,0,Mechanical,0,2020,1,Spielberg
19.0,RIC,3,Renault,10.0,Overheating,0,Other,0,2020,1,Spielberg
20.0,VER,33,Red Bull Racing,2.0,Electronics,0,Other,0,2020,1,Spielberg
1.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2020,2,Spielberg
2.0,BOT,77,Mercedes,4.0,Finished,1,Finished,1,2020,2,Spielberg
3.0,VER,33,Red Bull Racing,2.0,Finished,1,Finished,1,2020,2,Spielberg
4.0,ALB,23,Red Bull Racing,6.0,Finished,1,Finished,1,2020,2,Spielberg
5.0,NOR,4,McLaren,9.0,Finished,1,Finished,1,2020,2,Spielberg
6.0,PER,11,Racing Point,17.0,Finished,1,Finished,1,2020,2,Spielberg
7.0,STR,18,Racing Point,12.0,Finished,1,Finished,1,2020,2,Spielberg
8.0,RIC,3,Renault,8.0,Finished,1,Finished,1,2020,2,Spielberg
