Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
1.0,HAM,44,Mercedes,2.0,Finished,5523.897,0,0,2021,1,Sakhir
2.0,VER,33,Red Bull Racing,1.0,Finished,0.745,0,0,2021,1,Sakhir
3.0,BOT,77,Mercedes,3.0,Finished,37.383,0,0,2021,1,Sakhir
4.0,NOR,4,McLaren,7.0,Finished,46.466,0,0,2021,1,Sakhir
5.0,PER,11,Red Bull Racing,0.0,Finished,52.047,0,0,2021,1,Sakhir
6.0,LEC,16,Ferrari,4.0,Finished,59.09,0,0,2021,1,Sakhir
7.0,RIC,3,McLaren,6.0,Finished,66.004,0,0,2021,1,Sakhir
8.0,SAI,55,Ferrari,8.0,Finished,67.1,0,0,2021,1,Sakhir
9.0,TSU,22,AlphaTauri,13.0,Finished,85.692,0,0,2021,1,Sakhir
10.0,STR,18,Aston Martin,10.0,Finished,86.713,0,0,2021,1,Sakhir
11.0,RAI,7,Alfa Romeo Racing,14.0,Finished,88.864,0,0,2021,1,Sakhir
12.0,GIO,99,Alfa Romeo Racing,12.0,+1 Lap,,0,0,2021,1,Sakhir
13.0,OCO,31,Alpine,16.0,+1 Lap,,0,0,2021,1,Sakhir
14.0,RUS,63,Williams,15.0,+1 Lap,,0,0,2021,1,Sakhir
15.0,VET,5,Aston Martin,20.0,+1 Lap,,0,0,2021,1,Sakhir
16.0,MSC,47,Haas F1 Team,18.0,+1 Lap,,0,0,2021,1,Sakhir
17.0,GAS,10,AlphaTauri,5.0,Retired,,0,0,2021,1,Sakhir
18.0,LAT,6,Williams,17.0,Retired,,0,0,2021,1,Sakhir
19.0,ALO,14,Alpine,9.0,Brakes,,0,0,2021,1,Sakhir
20.0,MAZ,9,Haas F1 Team,19.0,Accident,,0,0,2021,1,Sakhir
1.0,VER,33,Red Bull Racing,3.0,Finished,7354.598,0,1,2021,2,Imola
2.0,HAM,44,Mercedes,1.0,Finished,22.0,2,1,2021,2,Imola
3.0,NOR,4,McLaren,7.0,Finished,23.701999999999998,0,1,2021,2,Imola
4.0,LEC,16,Ferrari,4.0,Finished,25.579,0,1,2021,2,Imola
5.0,SAI,55,Ferrari,11.0,Finished,27.036,0,1,2021,2,Imola
6.0,RIC,3,McLaren,6.0,Finished,51.22,0,1,2021,2,Imola
7.0,GAS,10,AlphaTauri,5.0,Finished,52.818,1,1,2021,2,Imola
8.0,STR,18,Aston Martin,10.0,Finished,56.909,1,1,2021,2,Imola
9.0,OCO,31,Alpine,9.0,Finished,65.704,2,1,2021,2,Imola
10.0,ALO,14,Alpine,15.0,Finished,66.561,1,1,2021,2,Imola
11.0,PER,11,Red Bull Racing,2.0,Finished,67.151,0,1,2021,2,Imola
12.0,TSU,22,AlphaTauri,20.0,Finished,73.184,1,1,2021,2,Imola
13.0,RAI,7,Alfa Romeo Racing,16.0,Finished,94.773,1,1,2021,2,Imola
14.0,GIO,99,Alfa Romeo Racing,17.0,+1 Lap,,1,1,2021,2,Imola
15.0,VET,5,Aston Martin,0.0,Gearbox,,1,1,2021,2,Imola
16.0,MSC,47,Haas F1 Team,18.0,+2 Laps,,1,1,2021,2,Imola
17.0,MAZ,9,Haas F1 Team,19.0,+2 Laps,,1,1,2021,2,Imola
18.0,BOT,77,Mercedes,8.0,Collision,,0,1,2021,2,Imola
19.0,RUS,63,Williams,12.0,Collision,,0,1,2021,2,Imola
20.0,LAT,6,Williams,14.0,Collision,,0,1,2021,2,Imola
1.0,HAM,44,Mercedes,2.0,Finished,5671.421,1,0,2021,3,Portimão
2.0,VER,33,Red Bull Racing,3.0,Finished,29.148,1,0,2021,3,Portimão
3.0,BOT,77,Mercedes,1.0,Finished,33.53,1,0,2021,3,Portimão
4.0,PER,11,Red Bull Racing,4.0,Finished,39.735,1,0,2021,3,Portimão
5.0,NOR,4,McLaren,7.0,Finished,51.369,1,0,2021,3,Portimão
6.0,LEC,16,Ferrari,8.0,Finished,55.781,1,0,2021,3,Portimão
7.0,OCO,31,Alpine,6.0,Finished,63.749,1,0,2021,3,Portimão
8.0,ALO,14,Alpine,13.0,Finished,1.808,1,0,2021,3,Portimão
9.0,RIC,3,McLaren,16.0,Finished,75.369,1,0,2021,3,Portimão
10.0,GAS,10,AlphaTauri,9.0,Finished,76.463,1,0,2021,3,Portimão
11.0,SAI,55,Ferrari,5.0,Finished,78.955,1,0,2021,3,Portimão
12.0,GIO,99,Alfa Romeo Racing,12.0,+1 Lap,,1,0,2021,3,Portimão
13.0,VET,5,Aston Martin,10.0,+1 Lap,,1,0,2021,3,Portimão
14.0,STR,18,Aston Martin,17.0,+1 Lap,,1,0,2021,3,Portimão
15.0,TSU,22,AlphaTauri,14.0,+1 Lap,,1,0,2021,3,Portimão
16.0,RUS,63,Williams,11.0,+1 Lap,,1,0,2021,3,Portimão
17.0,MSC,47,Haas F1 Team,19.0,+2 Laps,,1,0,2021,3,Portimão
18.0,LAT,6,Williams,18.0,+2 Laps,,1,0,2021,3,Portimão
19.0,MAZ,9,Haas F1 Team,20.0,+2 Laps,,1,0,2021,3,Portimão
20.0,RAI,7,Alfa Romeo Racing,15.0,Collision damage,,0,0,2021,3,Portimão
1.0,HAM,44,Mercedes,1.0,Finished,5587.68,0,0,2021,4,Barcelona
2.0,VER,33,Red Bull Racing,2.0,Finished,15.841,0,0,2021,4,Barcelona
3.0,BOT,77,Mercedes,3.0,Finished,26.61,0,0,2021,4,Barcelona
4.0,LEC,16,Ferrari,4.0,Finished,54.616,0,0,2021,4,Barcelona
5.0,PER,11,Red Bull Racing,8.0,Finished,63.671,0,0,2021,4,Barcelona
6.0,RIC,3,McLaren,7.0,Finished,73.768,0,0,2021,4,Barcelona
7.0,SAI,55,Ferrari,6.0,Finished,74.67,0,0,2021,4,Barcelona
8.0,NOR,4,McLaren,9.0,+1 Lap,,0,0,2021,4,Barcelona
9.0,OCO,31,Alpine,5.0,+1 Lap,,0,0,2021,4,Barcelona
10.0,GAS,10,AlphaTauri,12.0,+1 Lap,,0,0,2021,4,Barcelona
11.0,STR,18,Aston Martin,11.0,+1 Lap,,0,0,2021,4,Barcelona
12.0,RAI,7,Alfa Romeo Racing,17.0,+1 Lap,,0,0,2021,4,Barcelona
13.0,VET,5,Aston Martin,13.0,+1 Lap,,0,0,2021,4,Barcelona
14.0,RUS,63,Williams,15.0,+1 Lap,,0,0,2021,4,Barcelona
15.0,GIO,99,Alfa Romeo Racing,14.0,+1 Lap,,0,0,2021,4,Barcelona
16.0,LAT,6,Williams,19.0,+1 Lap,,0,0,2021,4,Barcelona
17.0,ALO,14,Alpine,10.0,+1 Lap,,0,0,2021,4,Barcelona
18.0,MSC,47,Haas F1 Team,18.0,+2 Laps,,0,0,2021,4,Barcelona
19.0,MAZ,9,Haas F1 Team,20.0,+2 Laps,,0,0,2021,4,Barcelona
20.0,TSU,22,AlphaTauri,16.0,Electrical,,0,0,2021,4,Barcelona
1.0,VER,33,Red Bull Racing,2.0,Finished,5936.82,0,0,2021,5,Monte Carlo
2.0,SAI,55,Ferrari,4.0,Finished,8.968,0,0,2021,5,Monte Carlo
3.0,NOR,4,McLaren,5.0,Finished,19.427,0,0,2021,5,Monte Carlo
4.0,PER,11,Red Bull Racing,9.0,Finished,20.49,0,0,2021,5,Monte Carlo
5.0,VET,5,Aston Martin,8.0,Finished,52.591,0,0,2021,5,Monte Carlo
6.0,GAS,10,AlphaTauri,6.0,Finished,53.896,0,0,2021,5,Monte Carlo
7.0,HAM,44,Mercedes,7.0,Finished,68.231,0,0,2021,5,Monte Carlo
8.0,STR,18,Aston Martin,13.0,+1 Lap,,0,0,2021,5,Monte Carlo
9.0,OCO,31,Alpine,11.0,+1 Lap,,0,0,2021,5,Monte Carlo
10.0,GIO,99,Alfa Romeo Racing,10.0,+1 Lap,,0,0,2021,5,Monte Carlo
11.0,RAI,7,Alfa Romeo Racing,14.0,+1 Lap,,0,0,2021,5,Monte Carlo
12.0,RIC,3,McLaren,12.0,+1 Lap,,0,0,2021,5,Monte Carlo
13.0,ALO,14,Alpine,17.0,+1 Lap,,0,0,2021,5,Monte Carlo
14.0,RUS,63,Williams,15.0,+1 Lap,,0,0,2021,5,Monte Carlo
15.0,LAT,6,Williams,18.0,+1 Lap,,0,0,2021,5,Monte Carlo
16.0,TSU,22,AlphaTauri,16.0,+1 Lap,,0,0,2021,5,Monte Carlo
17.0,MAZ,9,Haas F1 Team,19.0,+3 Laps,,0,0,2021,5,Monte Carlo
18.0,MSC,47,Haas F1 Team,20.0,+3 Laps,,0,0,2021,5,Monte Carlo
19.0,BOT,77,Mercedes,3.0,Wheel nut,,0,0,2021,5,Monte Carlo
20.0,LEC,16,Ferrari,1.0,Driveshaft,,0,0,2021,5,Monte Carlo
1.0,PER,11,Red Bull Racing,6.0,Finished,8016.41,1,0,2021,6,Baku
2.0,VET,5,Aston Martin,11.0,Finished,1.385,1,0,2021,6,Baku
3.0,GAS,10,AlphaTauri,4.0,Finished,2.762,1,0,2021,6,Baku
4.0,LEC,16,Ferrari,1.0,Finished,3.828,1,0,2021,6,Baku
5.0,NOR,4,McLaren,9.0,Finished,4.754,1,0,2021,6,Baku
6.0,ALO,14,Alpine,8.0,Finished,6.382,1,0,2021,6,Baku
7.0,TSU,22,AlphaTauri,7.0,Finished,6.624,1,0,2021,6,Baku
8.0,SAI,55,Ferrari,5.0,Finished,7.709,1,0,2021,6,Baku
9.0,RIC,3,McLaren,13.0,Finished,8.874,1,0,2021,6,Baku
10.0,RAI,7,Alfa Romeo Racing,14.0,Finished,9.576,1,0,2021,6,Baku
