Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,NOR,4,McLaren,75.096,0,2025,1,Melbourne
2.0,PIA,81,McLaren,75.18,0,2025,1,Melbourne
3.0,VER,1,Red Bull Racing,75.481,0,2025,1,Melbourne
4.0,RUS,63,Mercedes,75.546,0,2025,1,Melbourne
5.0,TSU,22,Racing Bulls,75.67,0,2025,1,Melbourne
6.0,ALB,23,Williams,75.737,0,2025,1,Melbourne
7.0,LEC,16,Ferrari,75.755,0,2025,1,Melbourne
8.0,HAM,44,Ferrari,75.919,0,2025,1,Melbourne
9.0,GAS,10,Alpine,75.98,0,2025,1,Melbourne
10.0,SAI,55,Williams,75.931,0,2025,1,Melbourne
11.0,HAD,6,Racing Bulls,76.175,0,2025,1,Melbourne
12.0,ALO,14,Aston Martin,76.288,0,2025,1,Melbourne
13.0,STR,18,Aston Martin,76.369,0,2025,1,Melbourne
14.0,DOO,7,Alpine,76.315,0,2025,1,Melbourne
15.0,BOR,5,Kick Sauber,76.516,0,2025,1,Melbourne
16.0,ANT,12,Mercedes,76.525,0,2025,1,Melbourne
17.0,HUL,27,Kick Sauber,76.579,0,2025,1,Melbourne
18.0,LAW,30,Red Bull Racing,77.094,0,2025,1,Melbourne
19.0,OCO,31,Haas F1 Team,77.147,0,2025,1,Melbourne
20.0,BEA,87,Haas F1 Team,,0,2025,1,Melbourne
1.0,PIA,81,McLaren,90.641,0,2025,2,Shanghai
2.0,RUS,63,Mercedes,90.723,0,2025,2,Shanghai
3.0,NOR,4,McLaren,90.787,0,2025,2,Shanghai
4.0,VER,1,Red Bull Racing,90.817,0,2025,2,Shanghai
5.0,HAM,44,Ferrari,90.927,0,2025,2,Shanghai
6.0,LEC,16,Ferrari,91.021,0,2025,2,Shanghai
7.0,HAD,6,Racing Bulls,91.079,0,2025,2,Shanghai
8.0,ANT,12,Mercedes,91.103,0,2025,2,Shanghai
9.0,TSU,22,Racing Bulls,91.238,0,2025,2,Shanghai
10.0,ALB,23,Williams,91.503,0,2025,2,Shanghai
11.0,OCO,31,Haas F1 Team,91.625,0,2025,2,Shanghai
12.0,HUL,27,Kick Sauber,91.632,0,2025,2,Shanghai
13.0,ALO,14,Aston Martin,91.688,0,2025,2,Shanghai
14.0,STR,18,Aston Martin,91.773,0,2025,2,Shanghai
15.0,SAI,55,Williams,91.628,0,2025,2,Shanghai
16.0,GAS,10,Alpine,91.992,0,2025,2,Shanghai
17.0,BEA,87,Haas F1 Team,92.018,0,2025,2,Shanghai
18.0,DOO,7,Alpine,92.092,0,2025,2,Shanghai
19.0,BOR,5,Kick Sauber,92.141,0,2025,2,Shanghai
20.0,LAW,30,Red Bull Racing,92.174,0,2025,2,Shanghai
1.0,VER,1,Red Bull Racing,86.983,0,2025,3,Suzuka
2.0,NOR,4,McLaren,86.995,0,2025,3,Suzuka
3.0,PIA,81,McLaren,87.027,0,2025,3,Suzuka
4.0,LEC,16,Ferrari,87.299,0,2025,3,Suzuka
5.0,RUS,63,Mercedes,87.318,0,2025,3,Suzuka
6.0,ANT,12,Mercedes,87.555,0,2025,3,Suzuka
7.0,HAD,6,Racing Bulls,87.569,0,2025,3,Suzuka
8.0,HAM,44,Ferrari,87.61,0,2025,3,Suzuka
9.0,ALB,23,Williams,87.615,0,2025,3,Suzuka
10.0,BEA,87,Haas F1 Team,87.711,0,2025,3,Suzuka
11.0,GAS,10,Alpine,87.822,0,2025,3,Suzuka
12.0,SAI,55,Williams,87.836,0,2025,3,Suzuka
13.0,ALO,14,Aston Martin,87.897,0,2025,3,Suzuka
14.0,LAW,30,Racing Bulls,87.906,0,2025,3,Suzuka
15.0,TSU,22,Red Bull Racing,87.967,0,2025,3,Suzuka
16.0,HUL,27,Kick Sauber,88.57,0,2025,3,Suzuka
17.0,BOR,5,Kick Sauber,88.622,0,2025,3,Suzuka
18.0,OCO,31,Haas F1 Team,88.696,0,2025,3,Suzuka
19.0,DOO,7,Alpine,88.877,0,2025,3,Suzuka
20.0,STR,18,Aston Martin,89.271,0,2025,3,Suzuka
1.0,PIA,81,McLaren,89.841,0,2025,4,Sakhir
2.0,RUS,63,Mercedes,90.009,0,2025,4,Sakhir
3.0,LEC,16,Ferrari,90.175,0,2025,4,Sakhir
4.0,ANT,12,Mercedes,90.213,0,2025,4,Sakhir
5.0,GAS,10,Alpine,90.216,0,2025,4,Sakhir
6.0,NOR,4,McLaren,90.267,0,2025,4,Sakhir
7.0,VER,1,Red Bull Racing,90.423,0,2025,4,Sakhir
8.0,SAI,55,Williams,90.68,0,2025,4,Sakhir
9.0,HAM,44,Ferrari,90.772,0,2025,4,Sakhir
10.0,TSU,22,Red Bull Racing,91.228,0,2025,4,Sakhir
11.0,DOO,7,Alpine,91.245,0,2025,4,Sakhir
12.0,HAD,6,Racing Bulls,91.271,0,2025,4,Sakhir
