Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit_race,Position_quali,DriverNumber_quali,TeamName_quali,BestLap_Sec,IsWetQuali,Circuit_quali
6.0,HUL,27,Renault,7.0,Finished,1,Finished,1,2018,3,Shanghai,7.0,27,Renault,92.494,0,Shanghai
7.0,ALO,14,McLaren,13.0,Finished,1,Finished,1,2018,3,Shanghai,13.0,14,McLaren,93.232,0,Shanghai
8.0,VET,5,Ferrari,1.0,Finished,1,Finished,1,2018,3,Shanghai,1.0,5,Ferrari,91.095,0,Shanghai
9.0,SAI,55,Renault,9.0,Finished,1,Finished,1,2018,3,Shanghai,9.0,55,Renault,92.819,0,Shanghai
10.0,MAG,20,Haas F1 Team,11.0,Finished,1,Finished,1,2018,3,Shanghai,11.0,20,Haas F1 Team,92.986,0,Shanghai
11.0,OCO,31,Force India,12.0,Finished,1,Finished,1,2018,3,Shanghai,12.0,31,Force India,93.057,0,Shanghai
12.0,PER,11,Force India,8.0,Finished,1,Finished,1,2018,3,Shanghai,8.0,11,Force India,92.758,0,Shanghai
13.0,VAN,2,McLaren,14.0,Finished,1,Finished,1,2018,3,Shanghai,14.0,2,McLaren,93.505,0,Shanghai
14.0,STR,18,Williams,18.0,Finished,1,Finished,1,2018,3,Shanghai,18.0,18,Williams,94.285,0,Shanghai
15.0,SIR,35,Williams,16.0,Finished,1,Finished,1,2018,3,Shanghai,16.0,35,Williams,94.062,0,Shanghai
16.0,ERI,9,Sauber,20.0,Finished,1,Finished,1,2018,3,Shanghai,20.0,9,Sauber,94.914,0,Shanghai
17.0,GRO,8,Haas F1 Team,10.0,Finished,1,Finished,1,2018,3,Shanghai,10.0,8,Haas F1 Team,92.524,0,Shanghai
18.0,GAS,10,Toro Rosso,17.0,Finished,1,Finished,1,2018,3,Shanghai,17.0,10,Toro Rosso,94.101,0,Shanghai
19.0,LEC,16,Sauber,19.0,Finished,1,Finished,1,2018,3,Shanghai,19.0,16,Sauber,94.454,0,Shanghai
20.0,HAR,28,Toro Rosso,15.0,Collision damage,0,Other,1,2018,3,Shanghai,15.0,28,Toro Rosso,93.795,0,Shanghai
1.0,HAM,44,Mercedes,2.0,Finished,1,Finished,0,2018,4,Baku,2.0,44,Mercedes,101.677,1,Baku
2.0,RAI,7,Ferrari,6.0,Finished,1,Finished,0,2018,4,Baku,6.0,7,Ferrari,102.49,1,Baku
3.0,PER,11,Force India,8.0,Finished,1,Finished,0,2018,4,Baku,8.0,11,Force India,102.547,1,Baku
4.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,4,Baku,1.0,5,Ferrari,101.498,1,Baku
5.0,SAI,55,Renault,9.0,Finished,1,Finished,0,2018,4,Baku,10.0,55,Renault,103.351,1,Baku
6.0,LEC,16,Sauber,13.0,Finished,1,Finished,0,2018,4,Baku,14.0,16,Sauber,103.752,1,Baku
7.0,ALO,14,McLaren,12.0,Finished,1,Finished,0,2018,4,Baku,13.0,14,McLaren,104.01,1,Baku
8.0,STR,18,Williams,10.0,Finished,1,Finished,0,2018,4,Baku,11.0,18,Williams,103.585,1,Baku
9.0,VAN,2,McLaren,16.0,Finished,1,Finished,0,2018,4,Baku,16.0,2,McLaren,104.489,1,Baku
10.0,HAR,28,Toro Rosso,19.0,Finished,1,Finished,0,2018,4,Baku,19.0,28,Toro Rosso,117.354,1,Baku
11.0,ERI,9,Sauber,18.0,Finished,1,Finished,0,2018,4,Baku,18.0,9,Sauber,105.541,1,Baku
12.0,GAS,10,Toro Rosso,17.0,Finished,1,Finished,0,2018,4,Baku,17.0,10,Toro Rosso,104.496,1,Baku
13.0,MAG,20,Haas F1 Team,15.0,Finished,1,Finished,0,2018,4,Baku,15.0,20,Haas F1 Team,103.674,1,Baku
14.0,BOT,77,Mercedes,3.0,Puncture,0,Other,0,2018,4,Baku,3.0,77,Mercedes,101.837,1,Baku
15.0,GRO,8,Haas F1 Team,20.0,Accident,0,Crash,0,2018,4,Baku,20.0,8,Haas F1 Team,,1,Baku
16.0,VER,33,Red Bull Racing,5.0,Collision,0,Other,0,2018,4,Baku,5.0,33,Red Bull Racing,101.994,1,Baku
17.0,RIC,3,Red Bull Racing,4.0,Collision,0,Other,0,2018,4,Baku,4.0,3,Red Bull Racing,101.911,1,Baku
18.0,HUL,27,Renault,14.0,Accident,0,Crash,0,2018,4,Baku,9.0,27,Renault,103.066,1,Baku
19.0,OCO,31,Force India,7.0,Collision,0,Other,0,2018,4,Baku,7.0,31,Force India,102.523,1,Baku
20.0,SIR,35,Williams,11.0,Collision,0,Other,0,2018,4,Baku,12.0,35,Williams,103.886,1,Baku
1.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,5,Barcelona,1.0,44,Mercedes,76.173,1,Barcelona
2.0,BOT,77,Mercedes,2.0,Finished,1,Finished,1,2018,5,Barcelona,2.0,77,Mercedes,76.213,1,Barcelona
3.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,1,2018,5,Barcelona,5.0,33,Red Bull Racing,76.816,1,Barcelona
4.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,5,Barcelona,3.0,5,Ferrari,76.305,1,Barcelona
5.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,1,2018,5,Barcelona,6.0,3,Red Bull Racing,76.818,1,Barcelona
6.0,MAG,20,Haas F1 Team,7.0,+1 Lap,0,Other,1,2018,5,Barcelona,7.0,20,Haas F1 Team,77.618,1,Barcelona
7.0,SAI,55,Renault,9.0,+1 Lap,0,Other,1,2018,5,Barcelona,9.0,55,Renault,77.79,1,Barcelona
8.0,ALO,14,McLaren,8.0,+1 Lap,0,Other,1,2018,5,Barcelona,8.0,14,McLaren,77.721,1,Barcelona
9.0,PER,11,Force India,15.0,+2 Laps,0,Other,1,2018,5,Barcelona,15.0,11,Force India,78.74,1,Barcelona
10.0,LEC,16,Sauber,14.0,+2 Laps,0,Other,1,2018,5,Barcelona,14.0,16,Sauber,78.661,1,Barcelona
11.0,STR,18,Williams,18.0,+2 Laps,0,Other,1,2018,5,Barcelona,19.0,18,Williams,80.225,1,Barcelona
12.0,HAR,28,Toro Rosso,20.0,+2 Laps,0,Other,1,2018,5,Barcelona,20.0,28,Toro Rosso,,1,Barcelona
13.0,ERI,9,Sauber,17.0,+2 Laps,0,Other,1,2018,5,Barcelona,17.0,9,Sauber,79.493,1,Barcelona
14.0,SIR,35,Williams,19.0,+3 Laps,0,Other,1,2018,5,Barcelona,18.0,35,Williams,79.695,1,Barcelona
15.0,VAN,2,McLaren,11.0,Gearbox,0,Mechanical,1,2018,5,Barcelona,11.0,2,McLaren,78.323,1,Barcelona
16.0,OCO,31,Force India,13.0,Oil leak,0,Other,1,2018,5,Barcelona,13.0,31,Force India,78.696,1,Barcelona
17.0,RAI,7,Ferrari,4.0,Turbo,0,Other,1,2018,5,Barcelona,4.0,7,Ferrari,76.612,1,Barcelona
18.0,GRO,8,Haas F1 Team,10.0,Collision,0,Other,1,2018,5,Barcelona,10.0,8,Haas F1 Team,77.699,1,Barcelona
19.0,GAS,10,Toro Rosso,12.0,Collision,0,Other,1,2018,5,Barcelona,12.0,10,Toro Rosso,78.463,1,Barcelona
20.0,HUL,27,Renault,16.0,Collision,0,Other,1,2018,5,Barcelona,16.0,27,Renault,78.923,1,Barcelona
1.0,RIC,3,Red Bull Racing,1.0,Finished,1,Finished,1,2018,6,Monte Carlo,1.0,3,Red Bull Racing,70.81,0,Monte Carlo
2.0,VET,5,Ferrari,2.0,Finished,1,Finished,1,2018,6,Monte Carlo,2.0,5,Ferrari,71.039,0,Monte Carlo
3.0,HAM,44,Mercedes,3.0,Finished,1,Finished,1,2018,6,Monte Carlo,3.0,44,Mercedes,71.232,0,Monte Carlo
4.0,RAI,7,Ferrari,4.0,Finished,1,Finished,1,2018,6,Monte Carlo,4.0,7,Ferrari,71.266,0,Monte Carlo
5.0,BOT,77,Mercedes,5.0,Finished,1,Finished,1,2018,6,Monte Carlo,5.0,77,Mercedes,71.441,0,Monte Carlo
6.0,OCO,31,Force India,6.0,Finished,1,Finished,1,2018,6,Monte Carlo,6.0,31,Force India,72.061,0,Monte Carlo
7.0,GAS,10,Toro Rosso,10.0,Finished,1,Finished,1,2018,6,Monte Carlo,10.0,10,Toro Rosso,72.221,0,Monte Carlo
8.0,HUL,27,Renault,11.0,Finished,1,Finished,1,2018,6,Monte Carlo,11.0,27,Renault,72.411,0,Monte Carlo
9.0,VER,33,Red Bull Racing,20.0,Finished,1,Finished,1,2018,6,Monte Carlo,20.0,33,Red Bull Racing,,0,Monte Carlo
10.0,SAI,55,Renault,8.0,Finished,1,Finished,1,2018,6,Monte Carlo,8.0,55,Renault,72.13,0,Monte Carlo
11.0,ERI,9,Sauber,16.0,Finished,1,Finished,1,2018,6,Monte Carlo,17.0,9,Sauber,73.265,0,Monte Carlo
12.0,PER,11,Force India,9.0,Finished,1,Finished,1,2018,6,Monte Carlo,9.0,11,Force India,72.154,0,Monte Carlo
13.0,MAG,20,Haas F1 Team,19.0,Finished,1,Finished,1,2018,6,Monte Carlo,19.0,20,Haas F1 Team,73.393,0,Monte Carlo
14.0,VAN,2,McLaren,12.0,+1 Lap,0,Other,1,2018,6,Monte Carlo,12.0,2,McLaren,72.44,0,Monte Carlo
15.0,GRO,8,Haas F1 Team,18.0,+1 Lap,0,Other,1,2018,6,Monte Carlo,15.0,8,Haas F1 Team,72.728,0,Monte Carlo
16.0,SIR,35,Williams,13.0,+1 Lap,0,Other,1,2018,6,Monte Carlo,13.0,35,Williams,72.521,0,Monte Carlo
17.0,STR,18,Williams,17.0,+2 Laps,0,Other,1,2018,6,Monte Carlo,18.0,18,Williams,73.323,0,Monte Carlo
18.0,LEC,16,Sauber,14.0,Collision,0,Other,1,2018,6,Monte Carlo,14.0,16,Sauber,72.714,0,Monte Carlo
19.0,HAR,28,Toro Rosso,15.0,Collision,0,Other,1,2018,6,Monte Carlo,16.0,28,Toro Rosso,73.179,0,Monte Carlo
20.0,ALO,14,McLaren,7.0,Gearbox,0,Mechanical,1,2018,6,Monte Carlo,7.0,14,McLaren,72.11,0,Monte Carlo
1.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,7,Montréal,1.0,5,Ferrari,70.764,0,Montréal
2.0,BOT,77,Mercedes,2.0,Finished,1,Finished,0,2018,7,Montréal,2.0,77,Mercedes,70.857,0,Montréal
3.0,VER,33,Red Bull Racing,3.0,Finished,1,Finished,0,2018,7,Montréal,3.0,33,Red Bull Racing,70.937,0,Montréal
4.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,0,2018,7,Montréal,6.0,3,Red Bull Racing,71.116,0,Montréal
5.0,HAM,44,Mercedes,4.0,Finished,1,Finished,0,2018,7,Montréal,4.0,44,Mercedes,70.996,0,Montréal
6.0,RAI,7,Ferrari,5.0,Finished,1,Finished,0,2018,7,Montréal,5.0,7,Ferrari,71.095,0,Montréal
7.0,HUL,27,Renault,7.0,+1 Lap,0,Other,0,2018,7,Montréal,7.0,27,Renault,71.916,0,Montréal
8.0,SAI,55,Renault,9.0,+1 Lap,0,Other,0,2018,7,Montréal,9.0,55,Renault,72.097,0,Montréal
9.0,OCO,31,Force India,8.0,+1 Lap,0,Other,0,2018,7,Montréal,8.0,31,Force India,72.084,0,Montréal
10.0,LEC,16,Sauber,13.0,+1 Lap,0,Other,0,2018,7,Montréal,13.0,16,Sauber,72.661,0,Montréal
11.0,GAS,10,Toro Rosso,16.0,+1 Lap,0,Other,0,2018,7,Montréal,16.0,10,Toro Rosso,73.047,0,Montréal
12.0,GRO,8,Haas F1 Team,20.0,+1 Lap,0,Other,0,2018,7,Montréal,20.0,8,Haas F1 Team,,0,Montréal
13.0,MAG,20,Haas F1 Team,11.0,+1 Lap,0,Other,0,2018,7,Montréal,11.0,20,Haas F1 Team,72.606,0,Montréal
14.0,PER,11,Force India,10.0,+1 Lap,0,Other,0,2018,7,Montréal,10.0,11,Force India,72.395,0,Montréal
15.0,ERI,9,Sauber,19.0,+2 Laps,0,Other,0,2018,7,Montréal,19.0,9,Sauber,74.593,0,Montréal
16.0,VAN,2,McLaren,15.0,+2 Laps,0,Other,0,2018,7,Montréal,15.0,2,McLaren,72.865,0,Montréal
17.0,SIR,35,Williams,18.0,+2 Laps,0,Other,0,2018,7,Montréal,18.0,35,Williams,73.643,0,Montréal
18.0,ALO,14,McLaren,14.0,Exhaust,0,Other,0,2018,7,Montréal,14.0,14,McLaren,72.856,0,Montréal
19.0,HAR,28,Toro Rosso,12.0,Collision,0,Other,0,2018,7,Montréal,12.0,28,Toro Rosso,72.587,0,Montréal
20.0,STR,18,Williams,17.0,Collision,0,Other,0,2018,7,Montréal,17.0,18,Williams,73.59,0,Montréal
1.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,8,Le Castellet,1.0,44,Mercedes,90.029,1,Le Castellet
2.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,1,2018,8,Le Castellet,4.0,33,Red Bull Racing,90.705,1,Le Castellet
3.0,RAI,7,Ferrari,6.0,Finished,1,Finished,1,2018,8,Le Castellet,6.0,7,Ferrari,90.772,1,Le Castellet
4.0,RIC,3,Red Bull Racing,5.0,Finished,1,Finished,1,2018,8,Le Castellet,5.0,3,Red Bull Racing,90.895,1,Le Castellet
5.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,8,Le Castellet,3.0,5,Ferrari,90.4,1,Le Castellet
6.0,MAG,20,Haas F1 Team,9.0,Finished,1,Finished,1,2018,8,Le Castellet,9.0,20,Haas F1 Team,91.51,1,Le Castellet
7.0,BOT,77,Mercedes,2.0,Finished,1,Finished,1,2018,8,Le Castellet,2.0,77,Mercedes,90.147,1,Le Castellet
8.0,SAI,55,Renault,7.0,Finished,1,Finished,1,2018,8,Le Castellet,7.0,55,Renault,92.016,1,Le Castellet
9.0,HUL,27,Renault,12.0,Finished,1,Finished,1,2018,8,Le Castellet,12.0,27,Renault,92.115,1,Le Castellet
10.0,LEC,16,Sauber,8.0,Finished,1,Finished,1,2018,8,Le Castellet,8.0,16,Sauber,92.055,1,Le Castellet
11.0,GRO,8,Haas F1 Team,10.0,+1 Lap,0,Other,1,2018,8,Le Castellet,10.0,8,Haas F1 Team,91.472,1,Le Castellet
12.0,VAN,2,McLaren,17.0,+1 Lap,0,Other,1,2018,8,Le Castellet,18.0,2,McLaren,93.162,1,Le Castellet
13.0,ERI,9,Sauber,15.0,+1 Lap,0,Other,1,2018,8,Le Castellet,15.0,9,Sauber,92.804,1,Le Castellet
14.0,HAR,28,Toro Rosso,20.0,+1 Lap,0,Other,1,2018,8,Le Castellet,17.0,28,Toro Rosso,93.025,1,Le Castellet
15.0,SIR,35,Williams,18.0,+1 Lap,0,Other,1,2018,8,Le Castellet,19.0,35,Williams,93.636,1,Le Castellet
16.0,ALO,14,McLaren,16.0,Wheel,0,Other,1,2018,8,Le Castellet,16.0,14,McLaren,92.976,1,Le Castellet
17.0,STR,18,Williams,19.0,Puncture,0,Other,1,2018,8,Le Castellet,20.0,18,Williams,93.729,1,Le Castellet
18.0,PER,11,Force India,13.0,Engine,0,Mechanical,1,2018,8,Le Castellet,13.0,11,Force India,92.454,1,Le Castellet
19.0,OCO,31,Force India,11.0,Collision,0,Other,1,2018,8,Le Castellet,11.0,31,Force India,92.075,1,Le Castellet
20.0,GAS,10,Toro Rosso,14.0,Collision,0,Other,1,2018,8,Le Castellet,14.0,10,Toro Rosso,92.447,1,Le Castellet
1.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,0,2018,9,Spielberg,5.0,33,Red Bull Racing,63.84,1,Spielberg
2.0,RAI,7,Ferrari,3.0,Finished,1,Finished,0,2018,9,Spielberg,4.0,7,Ferrari,63.66,1,Spielberg
3.0,VET,5,Ferrari,6.0,Finished,1,Finished,0,2018,9,Spielberg,3.0,5,Ferrari,63.464,1,Spielberg
4.0,GRO,8,Haas F1 Team,5.0,+1 Lap,0,Other,0,2018,9,Spielberg,6.0,8,Haas F1 Team,63.892,1,Spielberg
5.0,MAG,20,Haas F1 Team,8.0,+1 Lap,0,Other,0,2018,9,Spielberg,8.0,20,Haas F1 Team,64.051,1,Spielberg
6.0,OCO,31,Force India,11.0,+1 Lap,0,Other,0,2018,9,Spielberg,11.0,31,Force India,64.845,1,Spielberg
7.0,PER,11,Force India,16.0,+1 Lap,0,Other,0,2018,9,Spielberg,17.0,11,Force India,65.279,1,Spielberg
8.0,ALO,14,McLaren,13.0,+1 Lap,0,Other,0,2018,9,Spielberg,14.0,14,McLaren,64.965,1,Spielberg
9.0,LEC,16,Sauber,18.0,+1 Lap,0,Other,0,2018,9,Spielberg,13.0,16,Sauber,64.967,1,Spielberg
10.0,ERI,9,Sauber,20.0,+1 Lap,0,Other,0,2018,9,Spielberg,20.0,9,Sauber,65.479,1,Spielberg
11.0,GAS,10,Toro Rosso,12.0,+1 Lap,0,Other,0,2018,9,Spielberg,12.0,10,Toro Rosso,64.874,1,Spielberg
12.0,SAI,55,Renault,9.0,+1 Lap,0,Other,0,2018,9,Spielberg,9.0,55,Renault,64.561,1,Spielberg
13.0,SIR,35,Williams,17.0,+2 Laps,0,Other,0,2018,9,Spielberg,18.0,35,Williams,65.322,1,Spielberg
14.0,STR,18,Williams,14.0,+2 Laps,0,Other,0,2018,9,Spielberg,15.0,18,Williams,65.264,1,Spielberg
15.0,VAN,2,McLaren,15.0,Collision damage,0,Other,0,2018,9,Spielberg,16.0,2,McLaren,65.271,1,Spielberg
16.0,HAM,44,Mercedes,2.0,Fuel pressure,0,Other,0,2018,9,Spielberg,2.0,44,Mercedes,63.149,1,Spielberg
17.0,HAR,28,Toro Rosso,19.0,Hydraulics,0,Other,0,2018,9,Spielberg,19.0,28,Toro Rosso,65.366,1,Spielberg
18.0,RIC,3,Red Bull Racing,7.0,Exhaust,0,Other,0,2018,9,Spielberg,7.0,3,Red Bull Racing,63.996,1,Spielberg
19.0,BOT,77,Mercedes,1.0,Hydraulics,0,Other,0,2018,9,Spielberg,1.0,77,Mercedes,63.13,1,Spielberg
20.0,HUL,27,Renault,10.0,Engine,0,Mechanical,0,2018,9,Spielberg,10.0,27,Renault,64.676,1,Spielberg
1.0,VET,5,Ferrari,2.0,Finished,1,Finished,0,2018,10,Silverstone,2.0,5,Ferrari,85.936,0,Silverstone
2.0,HAM,44,Mercedes,1.0,Finished,1,Finished,0,2018,10,Silverstone,1.0,44,Mercedes,85.892,0,Silverstone
3.0,RAI,7,Ferrari,3.0,Finished,1,Finished,0,2018,10,Silverstone,3.0,7,Ferrari,85.99,0,Silverstone
4.0,BOT,77,Mercedes,4.0,Finished,1,Finished,0,2018,10,Silverstone,4.0,77,Mercedes,86.217,0,Silverstone
5.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,0,2018,10,Silverstone,6.0,3,Red Bull Racing,87.099,0,Silverstone
6.0,HUL,27,Renault,11.0,Finished,1,Finished,0,2018,10,Silverstone,11.0,27,Renault,87.901,0,Silverstone
7.0,OCO,31,Force India,10.0,Finished,1,Finished,0,2018,10,Silverstone,10.0,31,Force India,87.843,0,Silverstone
8.0,ALO,14,McLaren,13.0,Finished,1,Finished,0,2018,10,Silverstone,13.0,14,McLaren,88.139,0,Silverstone
9.0,MAG,20,Haas F1 Team,7.0,Finished,1,Finished,0,2018,10,Silverstone,7.0,20,Haas F1 Team,87.244,0,Silverstone
10.0,PER,11,Force India,12.0,Finished,1,Finished,0,2018,10,Silverstone,12.0,11,Force India,87.928,0,Silverstone
11.0,VAN,2,McLaren,17.0,Finished,1,Finished,0,2018,10,Silverstone,17.0,2,McLaren,89.096,0,Silverstone
12.0,STR,18,Williams,19.0,Finished,1,Finished,0,2018,10,Silverstone,19.0,18,Williams,,0,Silverstone
13.0,GAS,10,Toro Rosso,14.0,Finished,1,Finished,0,2018,10,Silverstone,14.0,10,Toro Rosso,88.343,0,Silverstone
