Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit
1.0,VER,1,Red Bull Racing,1.0,Finished,1,Finished,0,2023,1,Sakhir
2.0,PER,11,Red Bull Racing,2.0,Finished,1,Finished,0,2023,1,Sakhir
3.0,ALO,14,Aston Martin,5.0,Finished,1,Finished,0,2023,1,Sakhir
4.0,SAI,55,Ferrari,4.0,Finished,1,Finished,0,2023,1,Sakhir
5.0,HAM,44,Mercedes,7.0,Finished,1,Finished,0,2023,1,Sakhir
6.0,STR,18,Aston Martin,8.0,Finished,1,Finished,0,2023,1,Sakhir
7.0,RUS,63,Mercedes,6.0,Finished,1,Finished,0,2023,1,Sakhir
8.0,BOT,77,Alfa Romeo,12.0,Finished,1,Finished,0,2023,1,Sakhir
9.0,GAS,10,Alpine,20.0,Finished,1,Finished,0,2023,1,Sakhir
10.0,ALB,23,Williams,15.0,Finished,1,Finished,0,2023,1,Sakhir
11.0,TSU,22,AlphaTauri,14.0,Finished,1,Finished,0,2023,1,Sakhir
12.0,SAR,2,Williams,16.0,Lapped,0,Other,0,2023,1,Sakhir
13.0,MAG,20,Haas F1 Team,17.0,Lapped,0,Other,0,2023,1,Sakhir
14.0,DEV,21,AlphaTauri,19.0,Lapped,0,Other,0,2023,1,Sakhir
15.0,HUL,27,Haas F1 Team,10.0,Lapped,0,Other,0,2023,1,Sakhir
16.0,ZHO,24,Alfa Romeo,13.0,Lapped,0,Other,0,2023,1,Sakhir
17.0,NOR,4,McLaren,11.0,Lapped,0,Other,0,2023,1,Sakhir
18.0,OCO,31,Alpine,9.0,Retired,0,Other,0,2023,1,Sakhir
19.0,LEC,16,Ferrari,3.0,Retired,0,Other,0,2023,1,Sakhir
20.0,PIA,81,McLaren,18.0,Retired,0,Other,0,2023,1,Sakhir
1.0,PER,11,Red Bull Racing,1.0,Finished,1,Finished,0,2023,2,Jeddah
2.0,VER,1,Red Bull Racing,15.0,Finished,1,Finished,0,2023,2,Jeddah
3.0,ALO,14,Aston Martin,2.0,Finished,1,Finished,0,2023,2,Jeddah
4.0,RUS,63,Mercedes,3.0,Finished,1,Finished,0,2023,2,Jeddah
5.0,HAM,44,Mercedes,7.0,Finished,1,Finished,0,2023,2,Jeddah
6.0,SAI,55,Ferrari,4.0,Finished,1,Finished,0,2023,2,Jeddah
7.0,LEC,16,Ferrari,12.0,Finished,1,Finished,0,2023,2,Jeddah
8.0,OCO,31,Alpine,6.0,Finished,1,Finished,0,2023,2,Jeddah
9.0,GAS,10,Alpine,9.0,Finished,1,Finished,0,2023,2,Jeddah
10.0,MAG,20,Haas F1 Team,13.0,Finished,1,Finished,0,2023,2,Jeddah
11.0,TSU,22,AlphaTauri,16.0,Finished,1,Finished,0,2023,2,Jeddah
12.0,HUL,27,Haas F1 Team,10.0,Finished,1,Finished,0,2023,2,Jeddah
13.0,ZHO,24,Alfa Romeo,11.0,Finished,1,Finished,0,2023,2,Jeddah
14.0,DEV,21,AlphaTauri,18.0,Finished,1,Finished,0,2023,2,Jeddah
15.0,PIA,81,McLaren,8.0,Finished,1,Finished,0,2023,2,Jeddah
16.0,SAR,2,Williams,20.0,Finished,1,Finished,0,2023,2,Jeddah
17.0,NOR,4,McLaren,19.0,Finished,1,Finished,0,2023,2,Jeddah
18.0,BOT,77,Alfa Romeo,14.0,Lapped,0,Other,0,2023,2,Jeddah
19.0,ALB,23,Williams,17.0,Retired,0,Other,0,2023,2,Jeddah
20.0,STR,18,Aston Martin,5.0,Retired,0,Other,0,2023,2,Jeddah
1.0,VER,1,Red Bull Racing,1.0,Finished,1,Finished,0,2023,3,Melbourne
2.0,HAM,44,Mercedes,3.0,Finished,1,Finished,0,2023,3,Melbourne
