Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,VER,33,Red Bull Racing,88.997,0,2021,1,Sakhir
2.0,HAM,44,Mercedes,89.385,0,2021,1,Sakhir
3.0,BOT,77,Mercedes,89.586,0,2021,1,Sakhir
4.0,LEC,16,Ferrari,89.678,0,2021,1,Sakhir
5.0,GAS,10,AlphaTauri,89.809,0,2021,1,Sakhir
6.0,RIC,3,McLaren,89.927,0,2021,1,Sakhir
7.0,NOR,4,McLaren,89.974,0,2021,1,Sakhir
8.0,SAI,55,Ferrari,90.009,0,2021,1,Sakhir
9.0,ALO,14,Alpine,90.249,0,2021,1,Sakhir
10.0,STR,18,Aston Martin,90.601,0,2021,1,Sakhir
11.0,PER,11,Red Bull Racing,90.659,0,2021,1,Sakhir
12.0,GIO,99,Alfa Romeo Racing,90.708,0,2021,1,Sakhir
13.0,TSU,22,AlphaTauri,90.607,0,2021,1,Sakhir
14.0,RAI,7,Alfa Romeo Racing,91.238,0,2021,1,Sakhir
15.0,RUS,63,Williams,91.316,0,2021,1,Sakhir
16.0,OCO,31,Alpine,91.724,0,2021,1,Sakhir
17.0,LAT,6,Williams,91.936,0,2021,1,Sakhir
18.0,VET,5,Aston Martin,92.056,0,2021,1,Sakhir
19.0,MSC,47,Haas F1 Team,92.449,0,2021,1,Sakhir
20.0,MAZ,9,Haas F1 Team,93.273,0,2021,1,Sakhir
1.0,HAM,44,Mercedes,74.411,0,2021,2,Imola
2.0,PER,11,Red Bull Racing,74.446,0,2021,2,Imola
3.0,VER,33,Red Bull Racing,74.498,0,2021,2,Imola
4.0,LEC,16,Ferrari,74.74,0,2021,2,Imola
5.0,GAS,10,AlphaTauri,74.79,0,2021,2,Imola
6.0,RIC,3,McLaren,74.826,0,2021,2,Imola
7.0,NOR,4,McLaren,74.718,0,2021,2,Imola
8.0,BOT,77,Mercedes,74.672,0,2021,2,Imola
9.0,OCO,31,Alpine,75.117,0,2021,2,Imola
10.0,STR,18,Aston Martin,75.138,0,2021,2,Imola
11.0,SAI,55,Ferrari,75.199,0,2021,2,Imola
12.0,RUS,63,Williams,75.261,0,2021,2,Imola
13.0,VET,5,Aston Martin,75.394,0,2021,2,Imola
14.0,LAT,6,Williams,75.593,0,2021,2,Imola
15.0,ALO,14,Alpine,75.593,0,2021,2,Imola
16.0,RAI,7,Alfa Romeo Racing,75.974,0,2021,2,Imola
17.0,GIO,99,Alfa Romeo Racing,76.122,0,2021,2,Imola
18.0,MSC,47,Haas F1 Team,76.279,0,2021,2,Imola
19.0,MAZ,9,Haas F1 Team,76.797,0,2021,2,Imola
20.0,TSU,22,AlphaTauri,,0,2021,2,Imola
1.0,BOT,77,Mercedes,78.348,0,2021,3,Portimão
2.0,HAM,44,Mercedes,77.968,0,2021,3,Portimão
3.0,VER,33,Red Bull Racing,78.65,0,2021,3,Portimão
4.0,PER,11,Red Bull Racing,78.845,0,2021,3,Portimão
5.0,SAI,55,Ferrari,78.813,0,2021,3,Portimão
6.0,OCO,31,Alpine,78.586,0,2021,3,Portimão
7.0,NOR,4,McLaren,78.481,0,2021,3,Portimão
8.0,LEC,16,Ferrari,78.769,0,2021,3,Portimão
9.0,GAS,10,AlphaTauri,79.052,0,2021,3,Portimão
10.0,VET,5,Aston Martin,78.97,0,2021,3,Portimão
11.0,RUS,63,Williams,79.109,0,2021,3,Portimão
12.0,GIO,99,Alfa Romeo Racing,79.216,0,2021,3,Portimão
13.0,ALO,14,Alpine,79.456,0,2021,3,Portimão
14.0,TSU,22,AlphaTauri,79.463,0,2021,3,Portimão
15.0,RAI,7,Alfa Romeo Racing,79.748,0,2021,3,Portimão
16.0,RIC,3,McLaren,79.839,0,2021,3,Portimão
17.0,STR,18,Aston Martin,79.913,0,2021,3,Portimão
18.0,LAT,6,Williams,80.285,0,2021,3,Portimão
19.0,MSC,47,Haas F1 Team,80.452,0,2021,3,Portimão
20.0,MAZ,9,Haas F1 Team,80.912,0,2021,3,Portimão
1.0,HAM,44,Mercedes,76.741,0,2021,4,Barcelona
2.0,VER,33,Red Bull Racing,76.777,0,2021,4,Barcelona
3.0,BOT,77,Mercedes,76.873,0,2021,4,Barcelona
4.0,LEC,16,Ferrari,77.51,0,2021,4,Barcelona
5.0,OCO,31,Alpine,77.58,0,2021,4,Barcelona
6.0,SAI,55,Ferrari,77.62,0,2021,4,Barcelona
7.0,RIC,3,McLaren,77.622,0,2021,4,Barcelona
8.0,PER,11,Red Bull Racing,77.669,0,2021,4,Barcelona
9.0,NOR,4,McLaren,77.696,0,2021,4,Barcelona
