Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,LEC,16,Ferrari,90.558,0,2022,1,Sakhir
2.0,VER,1,Red Bull Racing,90.681,0,2022,1,Sakhir
3.0,SAI,55,Ferrari,90.687,0,2022,1,Sakhir
4.0,PER,11,Red Bull Racing,90.921,0,2022,1,Sakhir
5.0,HAM,44,Mercedes,91.048,0,2022,1,Sakhir
6.0,BOT,77,Alfa Romeo,91.56,0,2022,1,Sakhir
7.0,MAG,20,Haas F1 Team,91.461,0,2022,1,Sakhir
8.0,ALO,14,Alpine,91.621,0,2022,1,Sakhir
9.0,RUS,63,Mercedes,91.252,0,2022,1,Sakhir
10.0,GAS,10,AlphaTauri,91.635,0,2022,1,Sakhir
11.0,OCO,31,Alpine,91.782,0,2022,1,Sakhir
12.0,MSC,47,Haas F1 Team,91.998,0,2022,1,Sakhir
13.0,NOR,4,McLaren,92.008,0,2022,1,Sakhir
14.0,ALB,23,Williams,92.664,0,2022,1,Sakhir
15.0,ZHO,24,Alfa Romeo,92.493,0,2022,1,Sakhir
16.0,TSU,22,AlphaTauri,92.75,0,2022,1,Sakhir
17.0,HUL,27,Aston Martin,92.777,0,2022,1,Sakhir
18.0,RIC,3,McLaren,92.945,0,2022,1,Sakhir
19.0,STR,18,Aston Martin,93.032,0,2022,1,Sakhir
20.0,LAT,6,Williams,93.634,0,2022,1,Sakhir
1.0,PER,11,Red Bull Racing,88.2,0,2022,2,Jeddah
2.0,LEC,16,Ferrari,88.225,0,2022,2,Jeddah
3.0,SAI,55,Ferrari,88.402,0,2022,2,Jeddah
4.0,VER,1,Red Bull Racing,88.461,0,2022,2,Jeddah
5.0,OCO,31,Alpine,89.068,0,2022,2,Jeddah
6.0,RUS,63,Mercedes,89.104,0,2022,2,Jeddah
7.0,ALO,14,Alpine,89.147,0,2022,2,Jeddah
8.0,BOT,77,Alfa Romeo,89.183,0,2022,2,Jeddah
9.0,GAS,10,AlphaTauri,89.254,0,2022,2,Jeddah
10.0,MAG,20,Haas F1 Team,89.546,0,2022,2,Jeddah
11.0,NOR,4,McLaren,89.651,0,2022,2,Jeddah
12.0,RIC,3,McLaren,89.773,0,2022,2,Jeddah
13.0,ZHO,24,Alfa Romeo,89.819,0,2022,2,Jeddah
14.0,MSC,47,Haas F1 Team,89.92,0,2022,2,Jeddah
15.0,STR,18,Aston Martin,90.256,0,2022,2,Jeddah
16.0,HAM,44,Mercedes,90.343,0,2022,2,Jeddah
17.0,ALB,23,Williams,90.492,0,2022,2,Jeddah
18.0,HUL,27,Aston Martin,90.543,0,2022,2,Jeddah
19.0,LAT,6,Williams,91.817,0,2022,2,Jeddah
20.0,TSU,22,AlphaTauri,,0,2022,2,Jeddah
1.0,LEC,16,Ferrari,77.868,0,2022,3,Melbourne
2.0,VER,1,Red Bull Racing,78.154,0,2022,3,Melbourne
3.0,PER,11,Red Bull Racing,78.24,0,2022,3,Melbourne
4.0,NOR,4,McLaren,78.703,0,2022,3,Melbourne
5.0,HAM,44,Mercedes,78.825,0,2022,3,Melbourne
6.0,RUS,63,Mercedes,78.933,0,2022,3,Melbourne
7.0,RIC,3,McLaren,79.032,0,2022,3,Melbourne
8.0,OCO,31,Alpine,79.061,0,2022,3,Melbourne
9.0,SAI,55,Ferrari,78.469,0,2022,3,Melbourne
10.0,ALO,14,Alpine,78.815,0,2022,3,Melbourne
11.0,GAS,10,AlphaTauri,79.226,0,2022,3,Melbourne
12.0,BOT,77,Alfa Romeo,79.251,0,2022,3,Melbourne
13.0,TSU,22,AlphaTauri,79.424,0,2022,3,Melbourne
14.0,ZHO,24,Alfa Romeo,79.91,0,2022,3,Melbourne
15.0,MSC,47,Haas F1 Team,80.104,0,2022,3,Melbourne
16.0,ALB,23,Williams,80.135,0,2022,3,Melbourne
17.0,MAG,20,Haas F1 Team,80.254,0,2022,3,Melbourne
18.0,VET,5,Aston Martin,81.149,0,2022,3,Melbourne
19.0,LAT,6,Williams,81.372,0,2022,3,Melbourne
20.0,STR,18,Aston Martin,,0,2022,3,Melbourne
1.0,VER,1,Red Bull Racing,78.793,1,2022,4,Imola
2.0,LEC,16,Ferrari,78.796,1,2022,4,Imola
3.0,NOR,4,McLaren,79.294,1,2022,4,Imola
4.0,MAG,20,Haas F1 Team,79.902,1,2022,4,Imola
5.0,ALO,14,Alpine,79.595,1,2022,4,Imola
6.0,RIC,3,McLaren,79.98,1,2022,4,Imola
7.0,PER,11,Red Bull Racing,79.296,1,2022,4,Imola
8.0,BOT,77,Alfa Romeo,80.192,1,2022,4,Imola
9.0,VET,5,Aston Martin,79.957,1,2022,4,Imola
10.0,SAI,55,Ferrari,78.99,1,2022,4,Imola
11.0,RUS,63,Mercedes,80.383,1,2022,4,Imola
12.0,MSC,47,Haas F1 Team,80.422,1,2022,4,Imola
13.0,HAM,44,Mercedes,80.47,1,2022,4,Imola
14.0,ZHO,24,Alfa Romeo,79.73,1,2022,4,Imola
15.0,STR,18,Aston Martin,80.342,1,2022,4,Imola
16.0,TSU,22,AlphaTauri,80.474,1,2022,4,Imola
17.0,GAS,10,AlphaTauri,80.732,1,2022,4,Imola
18.0,LAT,6,Williams,81.971,1,2022,4,Imola
19.0,OCO,31,Alpine,82.338,1,2022,4,Imola
20.0,ALB,23,Williams,,1,2022,4,Imola
1.0,LEC,16,Ferrari,88.796,0,2022,5,Miami
2.0,SAI,55,Ferrari,88.986,0,2022,5,Miami
3.0,VER,1,Red Bull Racing,88.991,0,2022,5,Miami
4.0,PER,11,Red Bull Racing,89.036,0,2022,5,Miami
