Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
1.0,VER,1,Red Bull Racing,1.0,Finished,5504.742,0,0,2024,1,Sakhir
2.0,PER,11,Red Bull Racing,5.0,Finished,22.457,0,0,2024,1,Sakhir
3.0,SAI,55,Ferrari,4.0,Finished,25.11,0,0,2024,1,Sakhir
4.0,LEC,16,Ferrari,2.0,Finished,39.669,0,0,2024,1,Sakhir
5.0,RUS,63,Mercedes,3.0,Finished,46.788,0,0,2024,1,Sakhir
6.0,NOR,4,McLaren,7.0,Finished,48.458,0,0,2024,1,Sakhir
7.0,HAM,44,Mercedes,9.0,Finished,50.324,0,0,2024,1,Sakhir
8.0,PIA,81,McLaren,8.0,Finished,56.082,0,0,2024,1,Sakhir
9.0,ALO,14,Aston Martin,6.0,Finished,74.887,0,0,2024,1,Sakhir
10.0,STR,18,Aston Martin,12.0,Finished,93.216,0,0,2024,1,Sakhir
11.0,ZHO,24,Kick Sauber,17.0,Lapped,6.759,0,0,2024,1,Sakhir
12.0,MAG,20,Haas F1 Team,15.0,Lapped,8.316,0,0,2024,1,Sakhir
13.0,RIC,3,RB,14.0,Lapped,8.958,0,0,2024,1,Sakhir
14.0,TSU,22,RB,11.0,Lapped,9.482,0,0,2024,1,Sakhir
15.0,ALB,23,Williams,13.0,Lapped,11.886,0,0,2024,1,Sakhir
16.0,HUL,27,Haas F1 Team,10.0,Lapped,17.632,0,0,2024,1,Sakhir
17.0,OCO,31,Alpine,19.0,Lapped,31.45,0,0,2024,1,Sakhir
18.0,GAS,10,Alpine,20.0,Lapped,32.417,0,0,2024,1,Sakhir
19.0,BOT,77,Kick Sauber,16.0,Lapped,83.23,0,0,2024,1,Sakhir
20.0,SAR,2,Williams,18.0,Lapped,20.795,0,0,2024,1,Sakhir
1.0,VER,1,Red Bull Racing,1.0,Finished,4843.273,0,0,2024,2,Jeddah
2.0,PER,11,Red Bull Racing,3.0,Finished,13.643,0,0,2024,2,Jeddah
3.0,LEC,16,Ferrari,2.0,Finished,18.639,0,0,2024,2,Jeddah
4.0,PIA,81,McLaren,5.0,Finished,32.007,0,0,2024,2,Jeddah
5.0,ALO,14,Aston Martin,4.0,Finished,35.759,0,0,2024,2,Jeddah
6.0,RUS,63,Mercedes,7.0,Finished,39.936,0,0,2024,2,Jeddah
