Position_race,Abbreviation,DriverNumber_race,TeamName_race,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Position_quali,BestLap_Sec,IsWetQuali,Circuit,TrackLength_km,Corners,Type,OvertakingDifficulty,PositionDelta,DriverForm,DriverCircuitForm,TeamForm,IsRookieRace,IsNewCircuit
10.0,OCO,31,Aston Martin,8.0,+1 Lap,0,Other,0,2018,2,9.0,89.874,0,Sakhir,5.412,15,Permanent,Moderate,2.0,12.0,,13.666666666666666,0,1
11.0,SAI,55,Alpine,10.0,+1 Lap,0,Other,0,2018,2,10.0,89.802,0,Sakhir,5.412,15,Permanent,Moderate,1.0,10.0,,7.333333333333333,0,1
12.0,LEC,16,Kick Sauber,19.0,+1 Lap,0,Other,0,2018,2,19.0,91.42,0,Sakhir,5.412,15,Permanent,Moderate,-7.0,13.0,,14.0,0,1
13.0,GRO,8,Haas F1 Team,16.0,+1 Lap,0,Other,0,2018,2,16.0,90.53,0,Sakhir,5.412,15,Permanent,Moderate,-3.0,16.0,,17.333333333333332,0,1
14.0,STR,18,Williams,20.0,+1 Lap,0,Other,0,2018,2,20.0,91.503,0,Sakhir,5.412,15,Permanent,Moderate,-6.0,14.0,,15.0,0,1
15.0,SIR,35,Williams,18.0,+1 Lap,0,Other,0,2018,2,18.0,91.414,0,Sakhir,5.412,15,Permanent,Moderate,-3.0,20.0,,17.666666666666668,0,1
16.0,PER,11,Aston Martin,12.0,+1 Lap,0,Other,0,2018,2,12.0,90.156,0,Sakhir,5.412,15,Permanent,Moderate,4.0,11.0,,14.333333333333334,0,1
17.0,HAR,28,Racing Bulls,11.0,+1 Lap,0,Other,0,2018,2,11.0,90.105,0,Sakhir,5.412,15,Permanent,Moderate,6.0,15.0,,15.333333333333334,0,1
18.0,RAI,7,Ferrari,2.0,Wheel,0,Other,0,2018,2,2.0,88.101,0,Sakhir,5.412,15,Permanent,Moderate,16.0,3.0,,3.3333333333333335,0,1
19.0,VER,33,Red Bull Racing,15.0,Puncture,0,Other,0,2018,2,15.0,89.374,0,Sakhir,5.412,15,Permanent,Moderate,4.0,6.0,,12.0,0,1
20.0,RIC,3,Red Bull Racing,4.0,Electrical,0,Other,0,2018,2,5.0,88.398,0,Sakhir,5.412,15,Permanent,Moderate,16.0,4.0,,13.666666666666666,0,1
1.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,1,2018,3,6.0,91.948,0,Shanghai,5.451,16,Permanent,Moderate,-5.0,12.0,,14.666666666666666,0,1
2.0,BOT,77,Mercedes,3.0,Finished,1,Finished,1,2018,3,3.0,91.625,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,5.0,,6.666666666666667,0,1
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,3,2.0,91.182,0,Shanghai,5.451,16,Permanent,Moderate,1.0,10.5,,8.333333333333334,0,1
4.0,HAM,44,Mercedes,4.0,Finished,1,Finished,1,2018,3,4.0,91.675,0,Shanghai,5.451,16,Permanent,Moderate,0.0,2.5,,3.6666666666666665,0,1
5.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,1,2018,3,5.0,91.796,0,Shanghai,5.451,16,Permanent,Moderate,0.0,12.5,,14.0,0,1
6.0,HUL,27,Alpine,7.0,Finished,1,Finished,1,2018,3,7.0,92.494,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,6.5,,10.666666666666666,0,1
7.0,ALO,14,McLaren,13.0,Finished,1,Finished,1,2018,3,13.0,93.232,0,Shanghai,5.451,16,Permanent,Moderate,-6.0,6.0,,6.0,0,1
8.0,VET,5,Ferrari,1.0,Finished,1,Finished,1,2018,3,1.0,91.095,0,Shanghai,5.451,16,Permanent,Moderate,7.0,1.0,,1.3333333333333333,0,1
9.0,SAI,55,Alpine,9.0,Finished,1,Finished,1,2018,3,9.0,92.819,0,Shanghai,5.451,16,Permanent,Moderate,0.0,10.5,,9.333333333333334,0,1
10.0,MAG,20,Haas F1 Team,11.0,Finished,1,Finished,1,2018,3,11.0,92.986,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,11.0,,10.0,0,1
11.0,OCO,31,Aston Martin,12.0,Finished,1,Finished,1,2018,3,12.0,93.057,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,11.0,,11.333333333333334,0,1
12.0,PER,11,Aston Martin,8.0,Finished,1,Finished,1,2018,3,8.0,92.758,0,Shanghai,5.451,16,Permanent,Moderate,4.0,13.5,,14.666666666666666,0,1
13.0,VAN,2,McLaren,14.0,Finished,1,Finished,1,2018,3,14.0,93.505,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,8.5,,7.666666666666667,0,1
14.0,STR,18,Williams,18.0,Finished,1,Finished,1,2018,3,18.0,94.285,0,Shanghai,5.451,16,Permanent,Moderate,-4.0,14.0,,14.333333333333334,0,1
15.0,SIR,35,Williams,16.0,Finished,1,Finished,1,2018,3,16.0,94.062,0,Shanghai,5.451,16,Permanent,Moderate,-1.0,17.5,,17.0,0,1
16.0,ERI,9,Kick Sauber,20.0,Finished,1,Finished,1,2018,3,20.0,94.914,0,Shanghai,5.451,16,Permanent,Moderate,-4.0,14.0,,15.333333333333334,0,1
17.0,GRO,8,Haas F1 Team,10.0,Finished,1,Finished,1,2018,3,10.0,92.524,0,Shanghai,5.451,16,Permanent,Moderate,7.0,14.5,,16.0,0,1
18.0,GAS,10,Racing Bulls,17.0,Finished,1,Finished,1,2018,3,17.0,94.101,0,Shanghai,5.451,16,Permanent,Moderate,1.0,11.0,,13.0,0,1
