Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,VER,1,Red Bull Racing,89.179,0,2024,1,Sakhir
2.0,LEC,16,Ferrari,89.165,0,2024,1,Sakhir
3.0,RUS,63,Mercedes,89.485,0,2024,1,Sakhir
4.0,SAI,55,Ferrari,89.507,0,2024,1,Sakhir
5.0,PER,11,Red Bull Racing,89.537,0,2024,1,Sakhir
6.0,ALO,14,Aston Martin,89.542,0,2024,1,Sakhir
7.0,NOR,4,McLaren,89.614,0,2024,1,Sakhir
8.0,PIA,81,McLaren,89.683,0,2024,1,Sakhir
9.0,HAM,44,Mercedes,89.71,0,2024,1,Sakhir
10.0,HUL,27,Haas F1 Team,89.851,0,2024,1,Sakhir
11.0,TSU,22,RB,90.129,0,2024,1,Sakhir
12.0,STR,18,Aston Martin,89.965,0,2024,1,Sakhir
13.0,ALB,23,Williams,90.221,0,2024,1,Sakhir
14.0,RIC,3,RB,90.278,0,2024,1,Sakhir
15.0,MAG,20,Haas F1 Team,90.529,0,2024,1,Sakhir
16.0,BOT,77,Kick Sauber,90.756,0,2024,1,Sakhir
17.0,ZHO,24,Kick Sauber,90.757,0,2024,1,Sakhir
18.0,SAR,2,Williams,90.77,0,2024,1,Sakhir
19.0,OCO,31,Alpine,90.793,0,2024,1,Sakhir
20.0,GAS,10,Alpine,90.948,0,2024,1,Sakhir
1.0,VER,1,Red Bull Racing,87.472,0,2024,2,Jeddah
2.0,LEC,16,Ferrari,87.791,0,2024,2,Jeddah
3.0,PER,11,Red Bull Racing,87.807,0,2024,2,Jeddah
4.0,ALO,14,Aston Martin,87.846,0,2024,2,Jeddah
5.0,PIA,81,McLaren,88.089,0,2024,2,Jeddah
6.0,NOR,4,McLaren,88.132,0,2024,2,Jeddah
7.0,RUS,63,Mercedes,88.316,0,2024,2,Jeddah
8.0,HAM,44,Mercedes,88.46,0,2024,2,Jeddah
9.0,TSU,22,RB,88.547,0,2024,2,Jeddah
10.0,STR,18,Aston Martin,88.25,0,2024,2,Jeddah
11.0,BEA,38,Ferrari,88.642,0,2024,2,Jeddah
12.0,ALB,23,Williams,88.98,0,2024,2,Jeddah
13.0,MAG,20,Haas F1 Team,89.02,0,2024,2,Jeddah
14.0,RIC,3,RB,89.025,0,2024,2,Jeddah
15.0,HUL,27,Haas F1 Team,89.055,0,2024,2,Jeddah
16.0,BOT,77,Kick Sauber,89.179,0,2024,2,Jeddah
17.0,OCO,31,Alpine,89.475,0,2024,2,Jeddah
18.0,GAS,10,Alpine,89.479,0,2024,2,Jeddah
19.0,SAR,2,Williams,89.526,0,2024,2,Jeddah
20.0,ZHO,24,Kick Sauber,,0,2024,2,Jeddah
1.0,VER,1,Red Bull Racing,75.915,1,2024,3,Melbourne
2.0,SAI,55,Ferrari,76.185,1,2024,3,Melbourne
3.0,PER,11,Red Bull Racing,76.274,1,2024,3,Melbourne
4.0,NOR,4,McLaren,76.315,1,2024,3,Melbourne
5.0,LEC,16,Ferrari,76.304,1,2024,3,Melbourne
6.0,PIA,81,McLaren,76.572,1,2024,3,Melbourne
7.0,RUS,63,Mercedes,76.724,1,2024,3,Melbourne
8.0,TSU,22,RB,76.788,1,2024,3,Melbourne
9.0,STR,18,Aston Martin,76.78,1,2024,3,Melbourne
10.0,ALO,14,Aston Martin,76.71,1,2024,3,Melbourne
11.0,HAM,44,Mercedes,76.96,1,2024,3,Melbourne
12.0,ALB,23,Williams,77.13,1,2024,3,Melbourne
13.0,BOT,77,Kick Sauber,77.34,1,2024,3,Melbourne
14.0,MAG,20,Haas F1 Team,77.427,1,2024,3,Melbourne
15.0,OCO,31,Alpine,77.617,1,2024,3,Melbourne
16.0,HUL,27,Haas F1 Team,77.976,1,2024,3,Melbourne
17.0,GAS,10,Alpine,77.982,1,2024,3,Melbourne
18.0,RIC,3,RB,78.085,1,2024,3,Melbourne
19.0,ZHO,24,Kick Sauber,78.188,1,2024,3,Melbourne
1.0,VER,1,Red Bull Racing,88.197,0,2024,4,Suzuka
2.0,PER,11,Red Bull Racing,88.263,0,2024,4,Suzuka
3.0,NOR,4,McLaren,88.489,0,2024,4,Suzuka
4.0,SAI,55,Ferrari,88.682,0,2024,4,Suzuka
5.0,ALO,14,Aston Martin,88.686,0,2024,4,Suzuka
6.0,PIA,81,McLaren,88.76,0,2024,4,Suzuka
7.0,HAM,44,Mercedes,88.766,0,2024,4,Suzuka
8.0,LEC,16,Ferrari,88.786,0,2024,4,Suzuka
9.0,RUS,63,Mercedes,89.008,0,2024,4,Suzuka
10.0,TSU,22,RB,89.413,0,2024,4,Suzuka
11.0,RIC,3,RB,89.472,0,2024,4,Suzuka
12.0,HUL,27,Haas F1 Team,89.494,0,2024,4,Suzuka
