Position,Abbreviation,DriverNumber,TeamName,BestLap_Sec,IsWetQuali,Year,Round,Circuit
1.0,HAM,44,Mercedes,80.486,0,2019,1,Melbourne
2.0,BOT,77,Mercedes,80.598,0,2019,1,Melbourne
3.0,VET,5,Ferrari,81.19,0,2019,1,Melbourne
4.0,VER,33,Red Bull Racing,81.32,0,2019,1,Melbourne
5.0,LEC,16,Ferrari,81.442,0,2019,1,Melbourne
6.0,GRO,8,Haas F1 Team,81.826,0,2019,1,Melbourne
7.0,MAG,20,Haas F1 Team,82.099,0,2019,1,Melbourne
8.0,NOR,4,McLaren,82.304,0,2019,1,Melbourne
9.0,RAI,7,Alfa Romeo Racing,82.314,0,2019,1,Melbourne
10.0,PER,11,Racing Point,82.532,0,2019,1,Melbourne
11.0,HUL,27,Renault,82.54,0,2019,1,Melbourne
12.0,RIC,3,Renault,82.57,0,2019,1,Melbourne
13.0,ALB,23,Toro Rosso,82.636,0,2019,1,Melbourne
14.0,GIO,99,Alfa Romeo Racing,82.431,0,2019,1,Melbourne
15.0,KVY,26,Toro Rosso,82.511,0,2019,1,Melbourne
16.0,STR,18,Racing Point,83.017,0,2019,1,Melbourne
17.0,GAS,10,Red Bull Racing,83.02,0,2019,1,Melbourne
18.0,SAI,55,McLaren,83.084,0,2019,1,Melbourne
19.0,RUS,63,Williams,84.36,0,2019,1,Melbourne
20.0,KUB,88,Williams,86.067,0,2019,1,Melbourne
1.0,LEC,16,Ferrari,87.866,1,2019,2,Sakhir
2.0,VET,5,Ferrari,88.16,1,2019,2,Sakhir
3.0,HAM,44,Mercedes,88.19,1,2019,2,Sakhir
4.0,BOT,77,Mercedes,88.256,1,2019,2,Sakhir
5.0,VER,33,Red Bull Racing,88.752,1,2019,2,Sakhir
6.0,MAG,20,Haas F1 Team,88.757,1,2019,2,Sakhir
7.0,SAI,55,McLaren,88.813,1,2019,2,Sakhir
8.0,GRO,8,Haas F1 Team,89.015,1,2019,2,Sakhir
9.0,RAI,7,Alfa Romeo Racing,89.022,1,2019,2,Sakhir
10.0,NOR,4,McLaren,89.043,1,2019,2,Sakhir
11.0,RIC,3,Renault,89.488,1,2019,2,Sakhir
12.0,ALB,23,Toro Rosso,89.513,1,2019,2,Sakhir
13.0,GAS,10,Red Bull Racing,89.526,1,2019,2,Sakhir
14.0,PER,11,Racing Point,89.756,1,2019,2,Sakhir
15.0,KVY,26,Toro Rosso,89.854,1,2019,2,Sakhir
16.0,GIO,99,Alfa Romeo Racing,90.026,1,2019,2,Sakhir
17.0,HUL,27,Renault,90.034,1,2019,2,Sakhir
18.0,STR,18,Racing Point,90.217,1,2019,2,Sakhir
19.0,RUS,63,Williams,91.759,1,2019,2,Sakhir
20.0,KUB,88,Williams,91.799,1,2019,2,Sakhir
1.0,BOT,77,Mercedes,91.547,0,2019,3,Shanghai
2.0,HAM,44,Mercedes,91.57,0,2019,3,Shanghai
3.0,VET,5,Ferrari,91.848,0,2019,3,Shanghai
4.0,LEC,16,Ferrari,91.865,0,2019,3,Shanghai
5.0,VER,33,Red Bull Racing,92.089,0,2019,3,Shanghai
6.0,GAS,10,Red Bull Racing,92.93,0,2019,3,Shanghai
7.0,RIC,3,Renault,92.958,0,2019,3,Shanghai
8.0,HUL,27,Renault,92.962,0,2019,3,Shanghai
9.0,MAG,20,Haas F1 Team,93.15,0,2019,3,Shanghai
10.0,GRO,8,Haas F1 Team,93.156,0,2019,3,Shanghai
11.0,KVY,26,Toro Rosso,93.236,0,2019,3,Shanghai
12.0,PER,11,Racing Point,93.299,0,2019,3,Shanghai
13.0,RAI,7,Alfa Romeo Racing,93.419,0,2019,3,Shanghai
14.0,SAI,55,McLaren,93.523,0,2019,3,Shanghai
15.0,NOR,4,McLaren,93.967,0,2019,3,Shanghai
16.0,STR,18,Racing Point,94.292,0,2019,3,Shanghai
17.0,RUS,63,Williams,95.253,0,2019,3,Shanghai
18.0,KUB,88,Williams,95.281,0,2019,3,Shanghai
,ALB,23,Toro Rosso,,0,2019,3,Shanghai
,GIO,99,Alfa Romeo Racing,,0,2019,3,Shanghai
1.0,BOT,77,Mercedes,100.495,0,2019,4,Baku
2.0,HAM,44,Mercedes,100.554,0,2019,4,Baku
3.0,VET,5,Ferrari,100.797,0,2019,4,Baku
4.0,VER,33,Red Bull Racing,101.069,0,2019,4,Baku
5.0,PER,11,Racing Point,101.593,0,2019,4,Baku
6.0,KVY,26,Toro Rosso,101.681,0,2019,4,Baku
7.0,NOR,4,McLaren,101.886,0,2019,4,Baku
8.0,GIO,99,Alfa Romeo Racing,102.14,0,2019,4,Baku
9.0,LEC,16,Ferrari,101.426,0,2019,4,Baku
10.0,SAI,55,McLaren,101.936,0,2019,4,Baku
11.0,RIC,3,Renault,102.477,0,2019,4,Baku
12.0,ALB,23,Toro Rosso,102.154,0,2019,4,Baku
13.0,MAG,20,Haas F1 Team,102.382,0,2019,4,Baku
14.0,STR,18,Racing Point,102.63,0,2019,4,Baku
15.0,GRO,8,Haas F1 Team,103.407,0,2019,4,Baku
16.0,HUL,27,Renault,103.427,0,2019,4,Baku
17.0,RUS,63,Williams,105.062,0,2019,4,Baku
18.0,KUB,88,Williams,105.455,0,2019,4,Baku
19.0,RAI,7,Alfa Romeo Racing,102.059,0,2019,4,Baku
20.0,GAS,10,Red Bull Racing,101.335,0,2019,4,Baku
1.0,BOT,77,Mercedes,75.406,0,2019,5,Barcelona
2.0,HAM,44,Mercedes,76.038,0,2019,5,Barcelona
3.0,VET,5,Ferrari,76.272,0,2019,5,Barcelona
4.0,VER,33,Red Bull Racing,76.357,0,2019,5,Barcelona
5.0,LEC,16,Ferrari,76.588,0,2019,5,Barcelona
6.0,GAS,10,Red Bull Racing,76.708,0,2019,5,Barcelona
7.0,GRO,8,Haas F1 Team,76.911,0,2019,5,Barcelona
8.0,MAG,20,Haas F1 Team,76.922,0,2019,5,Barcelona
9.0,KVY,26,Toro Rosso,77.243,0,2019,5,Barcelona
10.0,RIC,3,Renault,77.299,0,2019,5,Barcelona
11.0,NOR,4,McLaren,77.338,0,2019,5,Barcelona
12.0,ALB,23,Toro Rosso,77.445,0,2019,5,Barcelona
13.0,SAI,55,McLaren,77.599,0,2019,5,Barcelona
14.0,RAI,7,Alfa Romeo Racing,77.788,0,2019,5,Barcelona
15.0,PER,11,Racing Point,77.886,0,2019,5,Barcelona
16.0,HUL,27,Renault,78.404,0,2019,5,Barcelona
17.0,STR,18,Racing Point,78.471,0,2019,5,Barcelona
18.0,GIO,99,Alfa Romeo Racing,78.664,0,2019,5,Barcelona
19.0,RUS,63,Williams,79.072,0,2019,5,Barcelona
20.0,KUB,88,Williams,80.254,0,2019,5,Barcelona
1.0,HAM,44,Mercedes,70.166,0,2019,6,Monte Carlo
2.0,BOT,77,Mercedes,70.252,0,2019,6,Monte Carlo
3.0,VER,33,Red Bull Racing,70.618,0,2019,6,Monte Carlo
4.0,VET,5,Ferrari,70.947,0,2019,6,Monte Carlo
5.0,GAS,10,Red Bull Racing,71.041,0,2019,6,Monte Carlo
6.0,MAG,20,Haas F1 Team,71.109,0,2019,6,Monte Carlo
7.0,RIC,3,Renault,71.218,0,2019,6,Monte Carlo
8.0,KVY,26,Toro Rosso,71.271,0,2019,6,Monte Carlo
9.0,SAI,55,McLaren,71.417,0,2019,6,Monte Carlo
10.0,ALB,23,Toro Rosso,71.429,0,2019,6,Monte Carlo
11.0,HUL,27,Renault,71.67,0,2019,6,Monte Carlo
12.0,NOR,4,McLaren,71.724,0,2019,6,Monte Carlo
13.0,GRO,8,Haas F1 Team,71.837,0,2019,6,Monte Carlo
14.0,RAI,7,Alfa Romeo Racing,71.993,0,2019,6,Monte Carlo
15.0,GIO,99,Alfa Romeo Racing,71.976,0,2019,6,Monte Carlo
16.0,LEC,16,Ferrari,72.149,0,2019,6,Monte Carlo
17.0,PER,11,Racing Point,72.233,0,2019,6,Monte Carlo
18.0,STR,18,Racing Point,72.846,0,2019,6,Monte Carlo
19.0,RUS,63,Williams,73.477,0,2019,6,Monte Carlo
20.0,KUB,88,Williams,73.751,0,2019,6,Monte Carlo
1.0,VET,5,Ferrari,70.24,0,2019,7,Montréal
2.0,HAM,44,Mercedes,70.446,0,2019,7,Montréal
3.0,LEC,16,Ferrari,70.92,0,2019,7,Montréal
4.0,RIC,3,Renault,71.071,0,2019,7,Montréal
5.0,GAS,10,Red Bull Racing,71.079,0,2019,7,Montréal
6.0,BOT,77,Mercedes,71.095,0,2019,7,Montréal
7.0,HUL,27,Renault,71.324,0,2019,7,Montréal
8.0,NOR,4,McLaren,71.735,0,2019,7,Montréal
9.0,SAI,55,McLaren,71.572,0,2019,7,Montréal
10.0,MAG,20,Haas F1 Team,71.786,0,2019,7,Montréal
11.0,VER,33,Red Bull Racing,71.619,0,2019,7,Montréal
12.0,KVY,26,Toro Rosso,71.921,0,2019,7,Montréal
13.0,GIO,99,Alfa Romeo Racing,72.122,0,2019,7,Montréal
14.0,ALB,23,Toro Rosso,72.02,0,2019,7,Montréal
15.0,GRO,8,Haas F1 Team,72.109,0,2019,7,Montréal
16.0,PER,11,Racing Point,72.197,0,2019,7,Montréal
17.0,RAI,7,Alfa Romeo Racing,72.23,0,2019,7,Montréal
18.0,STR,18,Racing Point,72.266,0,2019,7,Montréal
19.0,RUS,63,Williams,73.617,0,2019,7,Montréal
20.0,KUB,88,Williams,74.393,0,2019,7,Montréal
1.0,HAM,44,Mercedes,88.319,0,2019,8,Le Castellet
2.0,BOT,77,Mercedes,88.605,0,2019,8,Le Castellet
3.0,LEC,16,Ferrari,88.965,0,2019,8,Le Castellet
4.0,VER,33,Red Bull Racing,89.409,0,2019,8,Le Castellet
5.0,NOR,4,McLaren,89.418,0,2019,8,Le Castellet
6.0,SAI,55,McLaren,89.522,0,2019,8,Le Castellet
7.0,VET,5,Ferrari,89.506,0,2019,8,Le Castellet
8.0,RIC,3,Renault,89.918,0,2019,8,Le Castellet
9.0,GAS,10,Red Bull Racing,90.184,0,2019,8,Le Castellet
10.0,GIO,99,Alfa Romeo Racing,90.408,0,2019,8,Le Castellet
11.0,ALB,23,Toro Rosso,90.461,0,2019,8,Le Castellet
12.0,RAI,7,Alfa Romeo Racing,90.533,0,2019,8,Le Castellet
13.0,HUL,27,Renault,90.544,0,2019,8,Le Castellet
14.0,PER,11,Racing Point,90.738,0,2019,8,Le Castellet
15.0,MAG,20,Haas F1 Team,91.166,0,2019,8,Le Castellet
16.0,KVY,26,Toro Rosso,91.564,0,2019,8,Le Castellet
17.0,GRO,8,Haas F1 Team,91.626,0,2019,8,Le Castellet
18.0,STR,18,Racing Point,91.726,0,2019,8,Le Castellet
19.0,RUS,63,Williams,92.789,0,2019,8,Le Castellet
20.0,KUB,88,Williams,93.205,0,2019,8,Le Castellet
1.0,LEC,16,Ferrari,63.003,0,2019,9,Spielberg
2.0,HAM,44,Mercedes,63.262,0,2019,9,Spielberg
3.0,VER,33,Red Bull Racing,63.439,0,2019,9,Spielberg
4.0,BOT,77,Mercedes,63.537,0,2019,9,Spielberg
5.0,MAG,20,Haas F1 Team,64.072,0,2019,9,Spielberg
6.0,NOR,4,McLaren,64.099,0,2019,9,Spielberg
7.0,RAI,7,Alfa Romeo Racing,64.056,0,2019,9,Spielberg
8.0,GIO,99,Alfa Romeo Racing,64.179,0,2019,9,Spielberg
9.0,GAS,10,Red Bull Racing,63.988,0,2019,9,Spielberg
10.0,VET,5,Ferrari,63.667,0,2019,9,Spielberg
11.0,GRO,8,Haas F1 Team,64.49,0,2019,9,Spielberg
12.0,HUL,27,Renault,64.516,0,2019,9,Spielberg
13.0,ALB,23,Toro Rosso,64.665,0,2019,9,Spielberg
14.0,RIC,3,Renault,64.647,0,2019,9,Spielberg
15.0,SAI,55,McLaren,64.453,0,2019,9,Spielberg
16.0,PER,11,Racing Point,64.789,0,2019,9,Spielberg
17.0,STR,18,Racing Point,64.832,0,2019,9,Spielberg
18.0,KVY,26,Toro Rosso,65.324,0,2019,9,Spielberg
19.0,RUS,63,Williams,65.904,0,2019,9,Spielberg
20.0,KUB,88,Williams,66.206,0,2019,9,Spielberg
1.0,BOT,77,Mercedes,85.093,0,2019,10,Silverstone
2.0,HAM,44,Mercedes,85.099,0,2019,10,Silverstone
3.0,LEC,16,Ferrari,85.172,0,2019,10,Silverstone
4.0,VER,33,Red Bull Racing,85.276,0,2019,10,Silverstone
5.0,GAS,10,Red Bull Racing,85.59,0,2019,10,Silverstone
6.0,VET,5,Ferrari,85.787,0,2019,10,Silverstone
7.0,RIC,3,Renault,86.182,0,2019,10,Silverstone
8.0,NOR,4,McLaren,86.079,0,2019,10,Silverstone
9.0,ALB,23,Toro Rosso,86.345,0,2019,10,Silverstone
10.0,HUL,27,Renault,86.386,0,2019,10,Silverstone
11.0,GIO,99,Alfa Romeo Racing,86.449,0,2019,10,Silverstone
12.0,RAI,7,Alfa Romeo Racing,86.546,0,2019,10,Silverstone
13.0,SAI,55,McLaren,86.203,0,2019,10,Silverstone
14.0,GRO,8,Haas F1 Team,86.347,0,2019,10,Silverstone
15.0,PER,11,Racing Point,86.649,0,2019,10,Silverstone
16.0,MAG,20,Haas F1 Team,86.662,0,2019,10,Silverstone
17.0,KVY,26,Toro Rosso,86.721,0,2019,10,Silverstone
18.0,STR,18,Racing Point,86.762,0,2019,10,Silverstone
19.0,RUS,63,Williams,87.789,0,2019,10,Silverstone
20.0,KUB,88,Williams,88.257,0,2019,10,Silverstone
1.0,HAM,44,Mercedes,71.767,0,2019,11,Hockenheim
2.0,VER,33,Red Bull Racing,72.113,0,2019,11,Hockenheim
3.0,BOT,77,Mercedes,72.129,0,2019,11,Hockenheim
4.0,GAS,10,Red Bull Racing,72.385,0,2019,11,Hockenheim
5.0,RAI,7,Alfa Romeo Racing,72.519,0,2019,11,Hockenheim
6.0,GRO,8,Haas F1 Team,72.769,0,2019,11,Hockenheim
7.0,SAI,55,McLaren,72.632,0,2019,11,Hockenheim
8.0,PER,11,Racing Point,72.776,0,2019,11,Hockenheim
9.0,HUL,27,Renault,72.766,0,2019,11,Hockenheim
10.0,LEC,16,Ferrari,72.229,0,2019,11,Hockenheim
11.0,GIO,99,Alfa Romeo Racing,72.786,0,2019,11,Hockenheim
12.0,MAG,20,Haas F1 Team,72.789,0,2019,11,Hockenheim
13.0,RIC,3,Renault,72.799,0,2019,11,Hockenheim
14.0,KVY,26,Toro Rosso,73.135,0,2019,11,Hockenheim
15.0,STR,18,Racing Point,73.256,0,2019,11,Hockenheim
16.0,NOR,4,McLaren,73.333,0,2019,11,Hockenheim
17.0,ALB,23,Toro Rosso,73.461,0,2019,11,Hockenheim
18.0,RUS,63,Williams,74.721,0,2019,11,Hockenheim
19.0,KUB,88,Williams,74.839,0,2019,11,Hockenheim
20.0,VET,5,Ferrari,,0,2019,11,Hockenheim
1.0,VER,33,Red Bull Racing,74.572,0,2019,12,Budapest
2.0,BOT,77,Mercedes,74.59,0,2019,12,Budapest
3.0,HAM,44,Mercedes,74.769,0,2019,12,Budapest
4.0,LEC,16,Ferrari,75.043,0,2019,12,Budapest
5.0,VET,5,Ferrari,75.071,0,2019,12,Budapest
6.0,GAS,10,Red Bull Racing,75.45,0,2019,12,Budapest
7.0,NOR,4,McLaren,75.8,0,2019,12,Budapest
8.0,SAI,55,McLaren,75.852,0,2019,12,Budapest
9.0,GRO,8,Haas F1 Team,76.013,0,2019,12,Budapest
10.0,RAI,7,Alfa Romeo Racing,76.041,0,2019,12,Budapest
11.0,HUL,27,Renault,76.565,0,2019,12,Budapest
12.0,ALB,23,Toro Rosso,76.687,0,2019,12,Budapest
13.0,KVY,26,Toro Rosso,76.692,0,2019,12,Budapest
14.0,GIO,99,Alfa Romeo Racing,76.804,0,2019,12,Budapest
15.0,MAG,20,Haas F1 Team,76.122,0,2019,12,Budapest
16.0,RUS,63,Williams,77.031,0,2019,12,Budapest
17.0,PER,11,Racing Point,77.109,0,2019,12,Budapest
18.0,RIC,3,Renault,77.257,0,2019,12,Budapest
19.0,STR,18,Racing Point,77.542,0,2019,12,Budapest
20.0,KUB,88,Williams,78.324,0,2019,12,Budapest
1.0,LEC,16,Ferrari,102.519,0,2019,13,Spa-Francorchamps
2.0,VET,5,Ferrari,103.037,0,2019,13,Spa-Francorchamps
3.0,HAM,44,Mercedes,103.282,0,2019,13,Spa-Francorchamps
4.0,BOT,77,Mercedes,103.415,0,2019,13,Spa-Francorchamps
5.0,VER,33,Red Bull Racing,103.69,0,2019,13,Spa-Francorchamps
6.0,RIC,3,Renault,104.103,0,2019,13,Spa-Francorchamps
7.0,HUL,27,Renault,104.542,0,2019,13,Spa-Francorchamps
8.0,RAI,7,Alfa Romeo Racing,104.14,0,2019,13,Spa-Francorchamps
9.0,PER,11,Racing Point,104.706,0,2019,13,Spa-Francorchamps
10.0,MAG,20,Haas F1 Team,104.738,0,2019,13,Spa-Francorchamps
11.0,GRO,8,Haas F1 Team,104.797,0,2019,13,Spa-Francorchamps
12.0,NOR,4,McLaren,104.847,0,2019,13,Spa-Francorchamps
13.0,STR,18,Racing Point,105.047,0,2019,13,Spa-Francorchamps
14.0,ALB,23,Red Bull Racing,105.528,0,2019,13,Spa-Francorchamps
15.0,GIO,99,Alfa Romeo Racing,105.637,0,2019,13,Spa-Francorchamps
16.0,GAS,10,Toro Rosso,106.435,0,2019,13,Spa-Francorchamps
17.0,SAI,55,McLaren,106.507,0,2019,13,Spa-Francorchamps
18.0,KVY,26,Toro Rosso,106.518,0,2019,13,Spa-Francorchamps
19.0,RUS,63,Williams,107.548,0,2019,13,Spa-Francorchamps
20.0,KUB,88,Williams,,0,2019,13,Spa-Francorchamps
1.0,LEC,16,Ferrari,79.307,0,2019,14,Monza
2.0,HAM,44,Mercedes,79.346,0,2019,14,Monza
3.0,BOT,77,Mercedes,79.354,0,2019,14,Monza
4.0,VET,5,Ferrari,79.457,0,2019,14,Monza
5.0,RIC,3,Renault,79.833,0,2019,14,Monza
6.0,HUL,27,Renault,80.049,0,2019,14,Monza
7.0,SAI,55,McLaren,80.202,0,2019,14,Monza
8.0,ALB,23,Red Bull Racing,80.021,0,2019,14,Monza
