Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
1.0,LEC,16,Ferrari,1.0,Finished,5853.584,0,0,2022,1,Sakhir
2.0,SAI,55,Ferrari,3.0,Finished,5.598,0,0,2022,1,Sakhir
3.0,HAM,44,Mercedes,5.0,Finished,9.675,0,0,2022,1,Sakhir
4.0,RUS,63,Mercedes,9.0,Finished,11.211,0,0,2022,1,Sakhir
5.0,MAG,20,Haas F1 Team,7.0,Finished,14.754,0,0,2022,1,Sakhir
6.0,BOT,77,Alfa Romeo,6.0,Finished,16.119,0,0,2022,1,Sakhir
7.0,OCO,31,Alpine,11.0,Finished,19.423,0,0,2022,1,Sakhir
8.0,TSU,22,AlphaTauri,16.0,Finished,20.386,0,0,2022,1,Sakhir
9.0,ALO,14,Alpine,8.0,Finished,22.39,0,0,2022,1,Sakhir
10.0,ZHO,24,Alfa Romeo,15.0,Finished,23.064,0,0,2022,1,Sakhir
11.0,MSC,47,Haas F1 Team,12.0,Finished,32.574,0,0,2022,1,Sakhir
12.0,STR,18,Aston Martin,19.0,Finished,45.873,0,0,2022,1,Sakhir
13.0,ALB,23,Williams,14.0,Finished,53.932,0,0,2022,1,Sakhir
14.0,RIC,3,McLaren,18.0,Finished,54.975,0,0,2022,1,Sakhir
15.0,NOR,4,McLaren,13.0,Finished,56.335,0,0,2022,1,Sakhir
16.0,LAT,6,Williams,20.0,Finished,61.795,0,0,2022,1,Sakhir
17.0,HUL,27,Aston Martin,17.0,Finished,63.829,0,0,2022,1,Sakhir
18.0,PER,11,Red Bull Racing,4.0,Fuel pressure,,0,0,2022,1,Sakhir
19.0,VER,1,Red Bull Racing,2.0,Fuel pressure,,0,0,2022,1,Sakhir
20.0,GAS,10,AlphaTauri,10.0,Power Unit,,0,0,2022,1,Sakhir
1.0,VER,1,Red Bull Racing,4.0,Finished,5059.293,0,0,2022,2,Jeddah
2.0,LEC,16,Ferrari,2.0,Finished,0.549,0,0,2022,2,Jeddah
3.0,SAI,55,Ferrari,3.0,Finished,8.097,0,0,2022,2,Jeddah
4.0,PER,11,Red Bull Racing,1.0,Finished,10.8,0,0,2022,2,Jeddah
5.0,RUS,63,Mercedes,6.0,Finished,32.732,0,0,2022,2,Jeddah
6.0,OCO,31,Alpine,5.0,Finished,56.017,0,0,2022,2,Jeddah
7.0,NOR,4,McLaren,11.0,Finished,56.124,0,0,2022,2,Jeddah
8.0,GAS,10,AlphaTauri,9.0,Finished,62.946,0,0,2022,2,Jeddah
