Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,IsFinished,RetirementCategory,IsWetRace,Year,Round,Circuit
1.0,VET,5,Ferrari,3.0,Finished,1,Finished,1,2018,1,Melbourne
2.0,HAM,44,Mercedes,1.0,Finished,1,Finished,1,2018,1,Melbourne
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,1,Melbourne
4.0,RIC,3,Red Bull Racing,8.0,Finished,1,Finished,1,2018,1,Melbourne
5.0,ALO,14,McLaren,10.0,Finished,1,Finished,1,2018,1,Melbourne
6.0,VER,33,Red Bull Racing,4.0,Finished,1,Finished,1,2018,1,Melbourne
7.0,HUL,27,Renault,7.0,Finished,1,Finished,1,2018,1,Melbourne
8.0,BOT,77,Mercedes,15.0,Finished,1,Finished,1,2018,1,Melbourne
9.0,VAN,2,McLaren,11.0,Finished,1,Finished,1,2018,1,Melbourne
10.0,SAI,55,Renault,9.0,Finished,1,Finished,1,2018,1,Melbourne
11.0,PER,11,Force India,12.0,Finished,1,Finished,1,2018,1,Melbourne
12.0,OCO,31,Force India,14.0,Finished,1,Finished,1,2018,1,Melbourne
13.0,LEC,16,Sauber,18.0,Finished,1,Finished,1,2018,1,Melbourne
14.0,STR,18,Williams,13.0,Finished,1,Finished,1,2018,1,Melbourne
15.0,HAR,28,Toro Rosso,16.0,+1 Lap,0,Other,1,2018,1,Melbourne
16.0,GRO,8,Haas F1 Team,6.0,Wheel,0,Other,1,2018,1,Melbourne
17.0,MAG,20,Haas F1 Team,5.0,Wheel,0,Other,1,2018,1,Melbourne
18.0,GAS,10,Toro Rosso,20.0,Engine,0,Mechanical,1,2018,1,Melbourne
19.0,ERI,9,Sauber,17.0,Steering,0,Other,1,2018,1,Melbourne
20.0,SIR,35,Williams,19.0,Brakes,0,Other,1,2018,1,Melbourne
1.0,VET,5,Ferrari,1.0,Finished,1,Finished,0,2018,2,Sakhir
2.0,BOT,77,Mercedes,3.0,Finished,1,Finished,0,2018,2,Sakhir
3.0,HAM,44,Mercedes,9.0,Finished,1,Finished,0,2018,2,Sakhir
4.0,GAS,10,Toro Rosso,5.0,Finished,1,Finished,0,2018,2,Sakhir
5.0,MAG,20,Haas F1 Team,6.0,Finished,1,Finished,0,2018,2,Sakhir
6.0,HUL,27,Renault,7.0,Finished,1,Finished,0,2018,2,Sakhir
7.0,ALO,14,McLaren,13.0,+1 Lap,0,Other,0,2018,2,Sakhir
8.0,VAN,2,McLaren,14.0,+1 Lap,0,Other,0,2018,2,Sakhir
9.0,ERI,9,Sauber,17.0,+1 Lap,0,Other,0,2018,2,Sakhir
10.0,OCO,31,Force India,8.0,+1 Lap,0,Other,0,2018,2,Sakhir
11.0,SAI,55,Renault,10.0,+1 Lap,0,Other,0,2018,2,Sakhir
12.0,LEC,16,Sauber,19.0,+1 Lap,0,Other,0,2018,2,Sakhir
13.0,GRO,8,Haas F1 Team,16.0,+1 Lap,0,Other,0,2018,2,Sakhir
14.0,STR,18,Williams,20.0,+1 Lap,0,Other,0,2018,2,Sakhir
15.0,SIR,35,Williams,18.0,+1 Lap,0,Other,0,2018,2,Sakhir
16.0,PER,11,Force India,12.0,+1 Lap,0,Other,0,2018,2,Sakhir
17.0,HAR,28,Toro Rosso,11.0,+1 Lap,0,Other,0,2018,2,Sakhir
18.0,RAI,7,Ferrari,2.0,Wheel,0,Other,0,2018,2,Sakhir
19.0,VER,33,Red Bull Racing,15.0,Puncture,0,Other,0,2018,2,Sakhir
20.0,RIC,3,Red Bull Racing,4.0,Electrical,0,Other,0,2018,2,Sakhir
1.0,RIC,3,Red Bull Racing,6.0,Finished,1,Finished,1,2018,3,Shanghai
2.0,BOT,77,Mercedes,3.0,Finished,1,Finished,1,2018,3,Shanghai
3.0,RAI,7,Ferrari,2.0,Finished,1,Finished,1,2018,3,Shanghai
4.0,HAM,44,Mercedes,4.0,Finished,1,Finished,1,2018,3,Shanghai
5.0,VER,33,Red Bull Racing,5.0,Finished,1,Finished,1,2018,3,Shanghai
6.0,HUL,27,Renault,7.0,Finished,1,Finished,1,2018,3,Shanghai
7.0,ALO,14,McLaren,13.0,Finished,1,Finished,1,2018,3,Shanghai
8.0,VET,5,Ferrari,1.0,Finished,1,Finished,1,2018,3,Shanghai
9.0,SAI,55,Renault,9.0,Finished,1,Finished,1,2018,3,Shanghai
10.0,MAG,20,Haas F1 Team,11.0,Finished,1,Finished,1,2018,3,Shanghai
11.0,OCO,31,Force India,12.0,Finished,1,Finished,1,2018,3,Shanghai
12.0,PER,11,Force India,8.0,Finished,1,Finished,1,2018,3,Shanghai
