Position,Abbreviation,DriverNumber,TeamName,GridPosition,Status,RaceTime_Sec,PitStops,IsWetRace,Year,Round,Circuit
13.0,HAD,6,Racing Bulls,12.0,Finished,56.314,0,0,2025,4,Sakhir
14.0,DOO,7,Alpine,11.0,Finished,57.806,0,0,2025,4,Sakhir
15.0,ALO,14,Aston Martin,13.0,Finished,60.34,0,0,2025,4,Sakhir
16.0,LAW,30,Racing Bulls,17.0,Finished,64.435,0,0,2025,4,Sakhir
17.0,STR,18,Aston Martin,19.0,Finished,65.489,0,0,2025,4,Sakhir
18.0,BOR,5,Kick Sauber,18.0,Finished,66.872,0,0,2025,4,Sakhir
19.0,SAI,55,Williams,8.0,Retired,,1,0,2025,4,Sakhir
20.0,HUL,27,Kick Sauber,16.0,Disqualified,,0,0,2025,4,Sakhir
1.0,PIA,81,McLaren,2.0,Finished,4866.758,0,0,2025,5,Jeddah
2.0,VER,1,Red Bull Racing,1.0,Finished,2.843,0,0,2025,5,Jeddah
3.0,LEC,16,Ferrari,4.0,Finished,8.104,0,0,2025,5,Jeddah
4.0,NOR,4,McLaren,10.0,Finished,9.196,0,0,2025,5,Jeddah
5.0,RUS,63,Mercedes,3.0,Finished,27.236,0,0,2025,5,Jeddah
6.0,ANT,12,Mercedes,5.0,Finished,34.688,0,0,2025,5,Jeddah
7.0,HAM,44,Ferrari,7.0,Finished,39.073,0,0,2025,5,Jeddah
8.0,SAI,55,Williams,6.0,Finished,64.63,0,0,2025,5,Jeddah
9.0,ALB,23,Williams,11.0,Finished,66.515,0,0,2025,5,Jeddah
10.0,HAD,6,Racing Bulls,14.0,Finished,67.091,0,0,2025,5,Jeddah
11.0,ALO,14,Aston Martin,13.0,Finished,75.917,0,0,2025,5,Jeddah
12.0,LAW,30,Racing Bulls,12.0,Finished,78.451,0,0,2025,5,Jeddah
13.0,BEA,87,Haas F1 Team,15.0,Finished,79.194,0,0,2025,5,Jeddah
14.0,OCO,31,Haas F1 Team,19.0,Finished,99.723,0,0,2025,5,Jeddah
15.0,HUL,27,Kick Sauber,18.0,Lapped,4.609,0,0,2025,5,Jeddah
16.0,STR,18,Aston Martin,16.0,Lapped,5.527,0,0,2025,5,Jeddah
17.0,DOO,7,Alpine,17.0,Lapped,19.264,0,0,2025,5,Jeddah
18.0,BOR,5,Kick Sauber,20.0,Lapped,19.306,0,0,2025,5,Jeddah
19.0,TSU,22,Red Bull Racing,8.0,Retired,,0,0,2025,5,Jeddah
20.0,GAS,10,Alpine,9.0,Retired,,0,0,2025,5,Jeddah
1.0,PIA,81,McLaren,4.0,Finished,5331.587,0,1,2025,6,Miami
2.0,NOR,4,McLaren,2.0,Finished,4.63,0,1,2025,6,Miami
3.0,RUS,63,Mercedes,5.0,Finished,37.644,0,1,2025,6,Miami
4.0,VER,1,Red Bull Racing,1.0,Finished,39.956,0,1,2025,6,Miami
5.0,ALB,23,Williams,7.0,Finished,48.067,0,1,2025,6,Miami
6.0,ANT,12,Mercedes,3.0,Finished,55.502,0,1,2025,6,Miami
7.0,LEC,16,Ferrari,8.0,Finished,57.036,0,1,2025,6,Miami
8.0,HAM,44,Ferrari,12.0,Finished,60.186,0,1,2025,6,Miami
9.0,SAI,55,Williams,6.0,Finished,60.577,0,1,2025,6,Miami
10.0,TSU,22,Red Bull Racing,10.0,Finished,74.434,0,1,2025,6,Miami
11.0,HAD,6,Racing Bulls,11.0,Finished,74.602,0,1,2025,6,Miami
12.0,OCO,31,Haas F1 Team,9.0,Finished,82.006,0,1,2025,6,Miami
13.0,GAS,10,Alpine,20.0,Finished,90.445,0,1,2025,6,Miami
14.0,HUL,27,Kick Sauber,16.0,Lapped,1.155,0,1,2025,6,Miami
15.0,ALO,14,Aston Martin,17.0,Lapped,20.979,0,1,2025,6,Miami
16.0,STR,18,Aston Martin,18.0,Lapped,25.162,0,1,2025,6,Miami
17.0,LAW,30,Racing Bulls,15.0,Retired,,0,1,2025,6,Miami
18.0,BOR,5,Kick Sauber,13.0,Retired,,0,1,2025,6,Miami
19.0,BEA,87,Haas F1 Team,19.0,Retired,,0,1,2025,6,Miami
20.0,DOO,7,Alpine,14.0,Retired,,0,1,2025,6,Miami
1.0,VER,1,Red Bull Racing,2.0,Finished,5493.199,0,0,2025,7,Imola
2.0,NOR,4,McLaren,4.0,Finished,6.109,0,0,2025,7,Imola
3.0,PIA,81,McLaren,1.0,Finished,12.956,0,0,2025,7,Imola
4.0,HAM,44,Ferrari,12.0,Finished,14.356,0,0,2025,7,Imola
5.0,ALB,23,Williams,7.0,Finished,17.945,0,0,2025,7,Imola
6.0,LEC,16,Ferrari,11.0,Finished,20.774,0,0,2025,7,Imola
7.0,RUS,63,Mercedes,3.0,Finished,22.034,0,0,2025,7,Imola
8.0,SAI,55,Williams,6.0,Finished,22.898,0,0,2025,7,Imola
9.0,HAD,6,Racing Bulls,9.0,Finished,23.586,0,0,2025,7,Imola
10.0,TSU,22,Red Bull Racing,20.0,Finished,26.446,0,0,2025,7,Imola
11.0,ALO,14,Aston Martin,5.0,Finished,27.25,0,0,2025,7,Imola
12.0,HUL,27,Kick Sauber,17.0,Finished,30.296,0,0,2025,7,Imola
13.0,GAS,10,Alpine,10.0,Finished,31.424,0,0,2025,7,Imola
14.0,LAW,30,Racing Bulls,15.0,Finished,32.511,0,0,2025,7,Imola
15.0,STR,18,Aston Martin,8.0,Finished,32.993,0,0,2025,7,Imola
16.0,COL,43,Alpine,16.0,Finished,33.411,0,0,2025,7,Imola
17.0,BEA,87,Haas F1 Team,19.0,Finished,33.808,0,0,2025,7,Imola
18.0,BOR,5,Kick Sauber,14.0,Finished,38.572,0,0,2025,7,Imola
19.0,ANT,12,Mercedes,13.0,Retired,,0,0,2025,7,Imola
20.0,OCO,31,Haas F1 Team,18.0,Retired,,0,0,2025,7,Imola
1.0,NOR,4,McLaren,1.0,Finished,6033.843,0,0,2025,8,Monaco
